wrd	len	exembed	embed	nbs	matN	adds	dels	subs	rhy1	rhy2	cohEmb	cohs	cohshort	cohlong	cohsame	peakAcc	peakRt	DiffAcc	DiffRt	cdiffAcc	cdiffRt	abzAcc	abzRt
grit	4	0	1	2	matN	0	0	2	2	7	cohEmb	3	0	0	2	1	99	1	39	1	33	1	52
gru	3	1	0	6	matN	1	0	5	4	10	cohEmb	3	0	3	0	1	99	1	44	1	13	0	NA
grup	4	0	1	2	matN	0	1	1	1	2	cohEmb	3	0	0	2	1	99	1	45	1	37	1	48
gxtar	5	0	3	0	matN	0	0	0	0	2	cohEmb	0	0	0	0	1	99	1	39	1	15	1	50
hak	3	0	0	4	matN	0	0	4	5	21	cohEmb	3	0	1	2	1	99	1	28	1	22	0	NA
hap	3	0	0	7	matN	1	0	6	6	20	cohEmb	3	0	1	2	1	99	0	NA	1	22	0	NA
harp	4	0	1	1	matN	0	1	0	0	0	cohEmb	3	0	0	0	1	99	1	34	1	25	1	49
hat	3	0	0	9	matN	0	0	9	8	47	cohEmb	3	0	1	2	1	99	1	28	1	22	0	NA
hi	2	3	0	9	matN	2	0	7	27	0	cohEmb	3	0	3	0	1	99	0	NA	1	12	0	NA
hild	4	0	1	0	matN	0	0	0	0	0	cohEmb	3	1	0	0	1	99	1	35	1	29	1	46
hip	3	0	1	6	matN	0	1	5	7	20	cohEmb	3	0	1	1	1	99	1	32	1	26	0	NA
hit	3	0	2	8	matN	0	2	6	7	47	cohEmb	3	0	1	1	1	99	1	33	1	26	0	NA
hrxg	4	0	1	1	matN	0	0	1	1	3	cohEmb	0	0	0	0	1	99	1	29	1	20	1	47
hut	3	0	0	6	matN	0	0	6	4	47	cohEmb	0	0	0	0	1	99	1	22	1	12	0	NA
hxt	3	0	1	6	matN	0	0	6	8	47	cohEmb	0	0	0	0	1	99	1	26	1	13	0	NA
ist	3	3	0	3	matN	2	1	0	7	47	cohEmb	0	0	0	0	1	99	1	40	1	23	0	NA
it	2	8	0	4	matN	4	0	0	47	7	cohEmb	0	0	0	0	1	99	0	NA	1	12	0	NA
kalig	5	0	1	0	matN	0	0	0	0	1	cohEmb	5	2	1	0	1	99	1	38	1	31	1	49
kap	3	1	0	9	matN	2	0	7	6	20	cohEmb	5	0	4	1	1	99	1	40	1	13	0	NA
kapi	4	0	2	1	matN	0	1	0	0	2	cohEmb	5	0	2	1	1	99	1	46	1	38	1	52
kar	3	3	1	8	matN	2	1	5	7	7	cohEmb	5	0	4	1	1	99	1	41	1	23	0	NA
kard	4	0	2	2	matN	0	1	1	1	1	cohEmb	5	0	2	1	1	99	1	44	1	37	1	54
karpxt	6	0	4	0	matN	0	0	0	0	0	cohEmb	5	4	0	0	1	99	1	57	1	52	1	57
ki	2	2	0	7	matN	1	0	6	27	1	cohEmb	1	0	1	0	1	99	1	49	1	12	0	NA
kip	3	0	1	7	matN	1	1	5	7	20	cohEmb	1	0	0	0	1	99	1	39	1	26	0	NA
klak	4	0	1	2	matN	0	1	1	2	5	cohEmb	2	0	0	1	1	99	1	33	1	25	1	52
klu	3	0	0	3	matN	0	0	3	2	10	cohEmb	2	0	2	0	1	99	1	40	1	22	0	NA
klxb	4	0	1	0	matN	0	0	0	0	1	cohEmb	2	0	0	1	1	99	1	32	1	25	1	48
krap	4	0	0	3	matN	0	1	2	1	6	cohEmb	5	0	2	2	1	99	1	38	1	32	1	53
krip	4	0	0	2	matN	0	1	1	0	7	cohEmb	5	0	2	2	1	99	1	32	1	25	1	52
kru	3	3	0	5	matN	1	0	4	4	10	cohEmb	5	0	5	0	1	99	1	40	1	12	0	NA
kruhxl	6	0	2	1	matN	0	1	0	0	0	cohEmb	5	4	0	0	1	99	1	52	1	47	0	NA
kruxl	5	0	2	1	matN	1	0	0	0	0	cohEmb	5	1	1	0	1	99	1	54	1	44	0	NA
krxh	4	0	2	2	matN	0	1	1	2	2	cohEmb	5	0	2	2	1	99	1	35	1	25	1	51
kul	3	1	0	4	matN	1	0	3	4	28	cohEmb	0	0	0	0	1	99	1	42	1	22	0	NA
kxp	3	1	2	4	matN	0	1	3	1	20	cohEmb	2	0	1	1	1	99	1	29	1	22	0	NA
kxpxl	5	0	3	0	matN	0	0	0	0	1	cohEmb	2	2	0	0	1	99	1	56	1	48	1	58
kxt	3	2	1	4	matN	0	0	4	8	47	cohEmb	2	0	1	1	1	99	1	28	1	22	0	NA
labi	4	0	1	1	matN	0	0	1	1	2	cohEmb	2	0	0	0	1	99	1	32	1	25	1	48
lak	3	2	0	6	matN	2	0	4	5	21	cohEmb	2	0	1	1	1	99	1	50	1	22	0	NA
lat	3	2	0	7	matN	2	0	5	8	47	cohEmb	2	0	1	1	1	99	1	39	1	22	0	NA
lid	3	0	0	5	matN	0	0	5	7	18	cohEmb	4	0	2	2	1	99	1	28	1	22	0	NA
lig	3	2	0	2	matN	0	0	2	1	5	cohEmb	4	0	2	2	1	99	1	28	1	22	0	NA
ligxl	5	0	2	0	matN	0	0	0	0	1	cohEmb	4	3	0	0	1	99	1	48	1	43	1	50
lip	3	2	0	7	matN	1	0	6	7	20	cohEmb	4	0	2	2	1	99	1	36	1	22	0	NA
list	4	0	1	2	matN	0	1	1	3	7	cohEmb	4	0	1	0	1	99	1	34	1	25	1	57
lup	3	0	0	2	matN	0	0	2	2	20	cohEmb	1	0	0	1	1	99	1	28	1	22	0	NA
lus	3	0	0	1	matN	0	0	1	1	9	cohEmb	1	0	0	1	1	99	1	28	1	22	0	NA
lxk	3	2	1	6	matN	1	0	5	5	21	cohEmb	2	0	2	0	1	99	1	39	1	12	0	NA
lxkhxri	7	0	2	0	matN	0	0	0	0	0	cohEmb	2	2	0	0	1	99	1	57	1	52	0	NA
lxki	4	0	3	1	matN	0	1	0	0	1	cohEmb	2	0	1	0	1	99	1	46	1	38	1	52
pakxt	5	0	2	1	matN	0	0	1	1	2	cohEmb	12	3	5	1	1	99	1	42	1	36	1	52
palxsi	6	0	3	0	matN	0	0	0	0	0	cohEmb	12	6	2	2	1	99	1	55	1	38	0	NA
pap	3	1	0	7	matN	1	0	6	6	20	cohEmb	12	0	10	2	1	99	1	37	1	14	0	NA
papx	4	0	2	1	matN	0	1	0	0	0	cohEmb	12	0	7	2	1	99	1	58	1	41	0	NA
par	3	7	1	10	matN	2	1	7	7	7	cohEmb	12	0	10	2	1	99	1	36	1	23	0	NA
parhxl	6	0	3	0	matN	0	0	0	0	0	cohEmb	12	6	2	2	1	99	1	52	1	47	1	55
park	4	1	3	6	matN	1	2	3	4	4	cohEmb	12	0	7	2	1	99	1	46	1	38	1	68
part	4	3	3	8	matN	2	3	3	4	4	cohEmb	12	0	7	2	1	99	1	48	1	39	0	NA
parti	5	0	5	2	matN	1	1	0	0	0	cohEmb	12	3	5	1	1	99	1	58	1	49	1	58
partli	6	0	4	1	matN	0	1	0	0	0	cohEmb	12	6	2	2	1	99	1	59	1	55	0	NA
pasxbli	7	0	1	0	matN	0	0	0	0	0	cohEmb	12	8	0	1	1	99	1	70	1	63	0	NA
pasxbxl	7	0	1	0	matN	0	0	0	0	0	cohEmb	12	8	0	1	1	99	0	NA	1	43	0	NA
pat	3	1	0	10	matN	3	0	7	8	47	cohEmb	12	0	10	2	1	99	0	NA	1	23	0	NA
pi	2	8	0	9	matN	2	0	7	27	2	cohEmb	3	0	3	0	1	99	1	52	1	12	0	NA
pik	3	1	1	4	matN	1	1	2	4	21	cohEmb	3	0	1	1	1	99	1	37	1	26	0	NA
pipxl	5	0	2	0	matN	0	0	0	0	1	cohEmb	3	3	0	0	1	99	1	43	1	37	1	60
pis	3	0	1	3	matN	0	1	2	2	9	cohEmb	3	0	1	1	1	99	1	33	1	26	0	NA
plat	4	0	1	3	matN	0	2	1	2	8	cohEmb	2	0	0	2	1	99	1	33	1	26	1	52
plxg	4	0	1	2	matN	0	0	2	1	3	cohEmb	2	0	0	2	1	99	1	37	1	25	1	49
plxs	4	0	2	1	matN	0	0	1	0	3	cohEmb	2	0	0	2	1	99	1	39	1	33	1	51
prabxbli	8	0	2	0	matN	0	0	0	0	0	cohEmb	5	2	0	1	1	99	1	81	1	73	0	NA
prabxbxl	8	0	3	0	matN	0	0	0	0	0	cohEmb	5	2	0	1	1	99	0	NA	1	52	0	NA
pradus	6	0	3	0	matN	0	0	0	0	0	cohEmb	5	0	4	0	1	99	1	46	1	39	1	54
pradxkt	7	0	4	0	matN	0	0	0	0	0	cohEmb	5	1	2	1	1	99	1	55	1	49	0	NA
pragrxs	7	0	2	0	matN	0	0	0	0	0	cohEmb	5	1	2	1	1	99	1	53	1	43	1	60
prist	5	0	1	0	matN	0	0	0	0	3	cohEmb	5	0	5	0	1	99	1	37	1	23	1	51
pul	3	0	0	3	matN	0	0	3	4	28	cohEmb	0	0	0	0	1	99	1	24	1	12	0	NA
pxlis	5	0	1	0	matN	0	0	0	0	0	cohEmb	1	1	0	0	1	99	1	47	1	34	1	53
pxt	3	1	1	4	matN	0	0	4	8	47	cohEmb	1	0	1	0	1	99	1	27	1	14	0	NA
rab	3	2	0	4	matN	0	0	4	1	4	cohEmb	3	0	1	2	1	99	1	28	1	22	0	NA
rad	3	2	1	5	matN	0	1	4	2	18	cohEmb	3	0	1	2	1	99	1	28	1	22	0	NA
rak	3	1	0	4	matN	0	0	4	5	21	cohEmb	3	0	1	2	1	99	1	28	1	22	0	NA
rakxt	5	0	3	1	matN	0	0	1	1	2	cohEmb	3	3	0	0	1	99	1	48	1	44	1	53
rid	3	1	0	6	matN	1	0	5	7	18	cohEmb	2	0	1	1	1	99	1	43	1	22	0	NA
ril	3	1	0	6	matN	1	0	5	4	28	cohEmb	2	0	1	1	1	99	1	41	1	22	0	NA
rili	4	0	1	1	matN	0	1	0	0	5	cohEmb	2	0	0	0	1	99	0	NA	1	44	0	NA
rul	3	1	0	5	matN	0	0	5	4	28	cohEmb	2	0	1	1	1	99	1	28	1	22	0	NA
rupi	4	0	1	0	matN	0	0	0	0	2	cohEmb	2	0	0	0	1	99	1	38	1	32	1	51
rut	3	0	0	4	matN	0	0	4	4	47	cohEmb	2	0	1	1	1	99	1	29	1	22	0	NA
rxb	3	1	1	2	matN	0	0	2	1	4	cohEmb	3	0	2	1	1	99	1	28	1	22	0	NA
rxgxd	5	0	1	0	matN	0	0	0	0	0	cohEmb	3	2	0	1	1	99	1	48	1	40	1	56
rxh	3	2	1	3	matN	2	0	1	2	2	cohEmb	3	0	2	1	1	99	1	42	1	22	0	NA
rxsxl	5	0	2	0	matN	0	0	0	0	0	cohEmb	3	2	0	1	1	99	1	42	1	28	1	62
salxd	5	0	1	0	matN	0	0	0	0	1	cohEmb	1	0	0	0	1	99	1	30	1	13	1	49
sari	4	0	1	0	matN	0	0	0	0	3	cohEmb	1	0	1	0	1	99	1	38	1	32	1	54
si	2	8	0	16	matN	5	0	11	27	1	cohEmb	6	0	6	0	1	99	0	NA	1	12	0	NA
sid	3	1	1	9	matN	1	1	7	7	18	cohEmb	6	0	1	4	1	99	1	49	1	26	0	NA
sik	3	1	1	8	matN	1	1	6	4	21	cohEmb	6	0	1	4	1	99	1	44	1	26	0	NA
sikrxt	6	0	3	0	matN	0	0	0	0	0	cohEmb	6	6	0	0	1	99	1	54	1	48	1	56
sil	3	0	1	8	matN	1	1	6	4	28	cohEmb	6	0	1	4	1	99	1	36	1	26	0	NA
sis	3	0	1	6	matN	0	1	5	2	9	cohEmb	6	0	1	4	1	99	1	35	1	26	0	NA
sit	3	0	2	10	matN	1	2	7	7	47	cohEmb	6	0	1	4	1	99	1	40	1	26	0	NA
skar	4	0	2	2	matN	0	1	1	1	7	cohEmb	2	0	0	2	1	99	1	35	1	25	1	54
skru	4	0	1	1	matN	0	1	0	1	4	cohEmb	2	0	0	2	1	99	1	37	1	24	1	50
skul	4	0	1	1	matN	0	1	0	1	4	cohEmb	2	0	0	2	1	99	1	38	1	24	1	47
slip	4	1	1	4	matN	1	1	2	2	7	cohEmb	2	0	0	2	1	99	1	39	1	33	1	55
slit	4	0	1	2	matN	0	1	1	0	7	cohEmb	2	0	0	2	1	99	1	39	1	33	1	58
slxg	4	0	1	1	matN	0	0	1	1	3	cohEmb	2	0	0	2	1	99	1	35	1	24	1	49
spark	5	0	4	1	matN	0	1	0	1	4	cohEmb	3	0	0	0	1	99	1	44	1	37	1	52
spat	4	0	1	1	matN	0	1	0	1	8	cohEmb	3	0	1	2	1	99	1	36	1	13	1	54
spid	4	0	1	2	matN	0	1	1	0	7	cohEmb	3	0	1	2	1	99	1	38	1	22	1	50
spik	4	0	2	3	matN	0	2	1	1	4	cohEmb	3	0	1	2	1	99	1	38	1	32	1	52
stak	4	0	0	2	matN	0	0	2	0	5	cohEmb	13	0	9	4	1	99	1	38	1	27	1	54
stap	4	0	1	4	matN	0	1	3	1	6	cohEmb	13	0	9	4	1	99	1	38	1	32	1	55
star	4	2	2	6	matN	1	1	4	2	7	cohEmb	13	0	9	4	1	99	1	45	1	33	1	97
start	5	1	4	1	matN	0	1	0	0	4	cohEmb	13	0	4	4	1	99	0	NA	1	54	1	68
startxl	7	0	6	0	matN	0	0	0	0	0	cohEmb	13	10	0	1	1	99	1	74	1	68	1	70
stil	4	0	1	2	matN	0	1	1	0	4	cohEmb	13	0	9	4	1	99	1	39	1	34	1	59
stip	4	0	1	3	matN	0	0	3	0	7	cohEmb	13	0	9	4	1	99	1	39	1	34	1	59
strik	5	0	1	2	matN	0	0	2	0	1	cohEmb	13	0	4	4	1	99	1	48	1	43	1	56
strit	5	0	3	2	matN	0	1	1	1	2	cohEmb	13	0	4	4	1	99	0	NA	1	37	1	76
strxgxl	7	0	1	0	matN	0	0	0	0	0	cohEmb	13	10	0	1	1	99	1	62	1	53	1	66
strxk	5	0	2	2	matN	0	1	1	1	1	cohEmb	13	0	4	4	1	99	1	43	1	37	0	NA
stupxd	6	0	2	0	matN	0	0	0	0	0	cohEmb	13	5	2	1	1	99	1	47	1	43	1	54
stxdi	5	1	1	2	matN	1	0	1	0	0	cohEmb	13	0	4	4	1	99	1	55	1	35	0	NA
stxdid	6	0	3	1	matN	0	1	0	0	0	cohEmb	13	5	2	1	0	NA	0	NA	0	NA	0	NA
su	2	2	0	5	matN	1	0	4	10	0	cohEmb	2	0	2	0	1	99	1	44	1	11	0	NA
sut	3	1	1	5	matN	0	1	4	4	47	cohEmb	2	0	1	0	1	99	1	33	1	26	0	NA
sutxbxl	7	0	3	0	matN	0	0	0	0	0	cohEmb	2	2	0	0	1	99	1	59	1	52	1	61
sxbstxtut	9	0	2	0	matN	0	0	0	0	0	cohEmb	3	3	0	0	1	99	1	74	1	43	1	82
sxk	3	1	1	4	matN	0	0	4	5	21	cohEmb	3	0	3	0	1	99	1	26	1	13	0	NA
sxksid	6	0	4	0	matN	0	0	0	0	0	cohEmb	3	1	1	0	1	99	1	55	1	50	1	56
sxtxl	5	0	1	0	matN	0	0	0	0	2	cohEmb	3	1	2	0	1	99	1	38	1	29	1	64
tap	3	1	0	5	matN	1	0	4	6	20	cohEmb	2	0	1	1	1	99	1	35	1	12	0	NA
tar	3	5	1	6	matN	1	1	4	7	7	cohEmb	2	0	1	1	1	99	1	34	1	23	0	NA
targxt	6	0	3	0	matN	0	0	0	0	0	cohEmb	2	2	0	0	1	99	1	51	1	46	1	55
ti	2	6	0	7	matN	1	0	6	27	4	cohEmb	0	0	0	0	1	99	1	36	1	12	0	NA
trat	4	0	0	1	matN	0	0	1	0	8	cohEmb	10	0	5	3	1	99	1	38	1	32	1	63
tri	3	4	0	4	matN	1	1	2	3	27	cohEmb	10	0	9	1	1	99	1	40	1	22	0	NA
trit	4	2	2	6	matN	2	1	3	2	7	cohEmb	10	0	5	3	1	99	1	49	1	39	0	NA
triti	5	0	4	1	matN	0	1	0	0	0	cohEmb	10	2	2	2	0	NA	0	NA	0	NA	0	NA
tru	3	2	0	7	matN	1	1	5	4	10	cohEmb	10	0	9	1	1	99	1	40	1	14	0	NA
truli	5	0	2	0	matN	0	0	0	0	0	cohEmb	10	2	2	2	1	99	1	48	1	44	1	52
trup	4	0	1	2	matN	0	1	1	1	2	cohEmb	10	0	5	3	1	99	1	45	1	38	1	52
trxbxl	6	0	2	0	matN	0	0	0	0	5	cohEmb	10	6	0	1	1	99	1	56	1	41	1	62
trxk	4	1	1	1	matN	1	0	0	1	5	cohEmb	10	0	5	3	1	99	1	37	1	25	1	56
trxst	5	1	2	2	matN	1	0	1	0	2	cohEmb	10	2	2	2	1	99	1	46	1	38	1	56
trxsti	6	0	4	1	matN	0	1	0	0	0	cohEmb	10	6	0	1	1	99	0	NA	1	63	0	NA
tu	2	4	0	8	matN	3	0	5	10	0	cohEmb	2	0	2	0	1	99	0	NA	1	12	0	NA
tub	3	0	1	2	matN	0	1	1	0	4	cohEmb	2	0	0	1	1	99	1	32	1	26	0	NA
tul	3	0	1	5	matN	0	1	4	4	28	cohEmb	2	0	0	1	1	99	1	32	1	26	0	NA
x	1	78	0	4	matN	2	0	2	1	0	cohEmb	11	0	11	0	1	99	0	NA	1	9	0	NA
xbrxpt	6	0	2	0	matN	0	0	0	0	0	cohEmb	0	0	0	0	1	99	1	46	1	36	1	56
xdapt	5	0	1	0	matN	0	0	0	0	0	cohEmb	1	0	0	1	1	99	1	30	1	14	1	49
xdxlt	5	0	2	0	matN	0	0	0	0	0	cohEmb	1	0	0	1	1	99	1	49	1	26	1	57
xgli	4	0	1	1	matN	0	0	1	0	5	cohEmb	1	0	0	1	1	99	1	31	1	22	1	49
xgri	4	0	1	1	matN	0	0	1	0	3	cohEmb	1	0	0	1	1	99	1	31	1	22	1	49
xlat	4	0	2	2	matN	0	1	1	2	8	cohEmb	0	0	0	0	1	99	1	32	1	25	1	54
xp	2	5	1	3	matN	1	1	1	20	1	cohEmb	2	0	2	0	1	99	1	54	1	12	0	NA
xpart	5	0	6	1	matN	0	1	0	1	4	cohEmb	2	1	0	0	1	99	1	42	1	35	1	54
xpil	4	0	3	0	matN	0	0	0	0	4	cohEmb	2	1	1	0	1	99	1	36	1	31	1	53
xs	2	10	1	3	matN	1	1	1	9	3	cohEmb	1	0	1	0	1	99	0	NA	1	12	0	NA
xslip	5	0	4	1	matN	0	1	0	1	2	cohEmb	1	1	0	0	1	99	1	40	1	35	0	NA
