wrd	len	exembed	embed	nbs	matN	adds	dels	subs	rhy1	rhy2	cohEmb	cohs	cohshort	cohlong	cohsame	peakAcc	peakRt	DiffAcc	DiffRt	cdiffAcc	cdiffRt	abzAcc	abzRt
ad	2	5	0	3	matN	2	0	1	18	2	cohEmb	0	0	0	0	1	99	0	NA	1	12	0	NA
ar	2	28	0	9	matN	6	0	3	7	7	cohEmb	3	0	3	0	1	99	1	49	1	11	0	NA
ark	3	4	1	5	matN	3	1	1	4	21	cohEmb	3	0	1	1	1	99	1	38	1	26	0	NA
art	3	8	1	4	matN	2	1	1	4	47	cohEmb	3	0	1	1	1	99	1	37	1	27	0	NA
artxst	6	0	4	0	matN	0	0	0	0	0	cohEmb	3	3	0	0	1	99	0	NA	1	48	0	NA
bab	3	1	0	4	matN	1	0	3	1	4	cohEmb	6	0	5	1	1	99	1	40	1	16	0	NA
babi	4	0	2	3	matN	0	1	2	1	2	cohEmb	6	0	1	3	1	99	1	60	1	40	1	73
badi	4	0	1	1	matN	0	0	1	0	1	cohEmb	6	0	1	3	1	99	1	32	1	25	1	47
baks	4	0	0	0	matN	0	0	0	0	0	cohEmb	6	0	1	3	1	99	1	38	1	32	1	47
bar	3	1	1	7	matN	1	1	5	7	7	cohEmb	6	0	5	1	1	99	1	38	1	23	0	NA
bark	4	0	3	4	matN	0	2	2	4	4	cohEmb	6	0	1	3	1	99	1	46	1	38	1	54
batxl	5	0	1	0	matN	0	0	0	0	2	cohEmb	6	2	0	0	1	99	1	36	1	29	1	50
bi	2	4	0	7	matN	1	0	6	27	2	cohEmb	2	0	2	0	1	99	1	56	1	12	0	NA
bist	4	0	2	4	matN	0	2	2	3	7	cohEmb	2	1	0	0	1	99	1	36	1	30	1	52
bit	3	0	2	7	matN	1	2	4	7	47	cohEmb	2	0	1	0	1	99	1	39	1	26	0	NA
blak	4	0	1	2	matN	0	1	1	2	5	cohEmb	2	0	0	1	1	99	1	32	1	25	1	48
blu	3	0	0	2	matN	0	0	2	2	10	cohEmb	2	0	2	0	1	99	1	26	1	12	0	NA
blxd	4	0	1	0	matN	0	0	0	1	3	cohEmb	2	0	0	1	1	99	1	32	1	25	1	48
brid	4	0	1	2	matN	0	1	1	1	7	cohEmb	2	0	0	2	1	99	1	32	1	24	1	48
brud	4	0	0	1	matN	0	0	1	0	0	cohEmb	2	0	0	2	1	99	1	31	1	24	1	47
brxh	4	0	2	2	matN	0	1	1	2	2	cohEmb	2	0	0	2	1	99	1	32	1	24	1	48
bust	4	0	0	2	matN	0	1	1	0	7	cohEmb	1	0	0	0	1	99	1	32	1	25	1	47
but	3	0	0	6	matN	1	0	5	4	47	cohEmb	1	0	1	0	1	99	1	52	1	22	0	NA
bxbxl	5	1	1	1	matN	0	0	1	5	5	cohEmb	3	3	0	0	1	99	1	69	1	32	0	NA
bxk	3	0	1	5	matN	0	0	5	5	21	cohEmb	3	0	1	2	1	99	1	28	1	22	0	NA
bxs	3	0	2	3	matN	0	1	2	3	9	cohEmb	3	0	1	2	1	99	1	28	1	22	0	NA
bxt	3	0	1	7	matN	0	0	7	8	47	cohEmb	3	0	1	2	1	99	1	28	1	22	0	NA
dal	3	0	0	3	matN	0	0	3	0	28	cohEmb	3	0	2	1	1	99	1	28	1	22	0	NA
dark	4	0	2	4	matN	0	1	3	4	4	cohEmb	3	0	0	1	1	99	1	38	1	25	1	54
dart	4	0	2	4	matN	0	2	2	4	4	cohEmb	3	0	0	1	1	99	1	38	1	32	1	59
dat	3	0	0	6	matN	1	0	5	8	47	cohEmb	3	0	2	1	1	99	1	35	1	22	0	NA
did	3	1	0	5	matN	0	0	5	7	18	cohEmb	2	0	0	2	1	99	1	29	1	22	0	NA
dil	3	0	0	6	matN	0	0	6	4	28	cohEmb	2	0	0	2	1	99	1	28	1	22	0	NA
dip	3	0	0	5	matN	0	0	5	7	20	cohEmb	2	0	0	2	1	99	1	28	1	22	0	NA
drap	4	0	0	1	matN	0	0	1	1	6	cohEmb	2	0	0	1	1	99	1	34	1	25	1	49
dru	3	0	0	4	matN	0	1	3	4	10	cohEmb	2	0	2	0	1	99	1	26	1	12	0	NA
drxg	4	0	1	1	matN	0	0	1	1	3	cohEmb	2	0	0	1	1	99	1	32	1	25	1	48
du	2	2	0	3	matN	1	0	2	10	0	cohEmb	1	0	1	0	1	99	0	NA	1	12	0	NA
duti	4	0	2	0	matN	0	0	0	0	4	cohEmb	1	1	0	0	1	99	1	35	1	30	1	46
dxbxl	5	0	1	1	matN	0	0	1	5	5	cohEmb	3	2	0	0	1	99	1	35	1	27	1	57
dxk	3	1	1	4	matN	0	0	4	5	21	cohEmb	3	0	2	1	1	99	1	28	1	18	0	NA
dxl	3	1	1	3	matN	0	0	3	17	28	cohEmb	3	0	2	1	1	99	1	30	1	22	0	NA
dxst	4	0	2	0	matN	0	0	0	2	7	cohEmb	3	0	1	0	1	99	1	32	1	25	1	51
gad	3	0	1	4	matN	1	1	2	2	18	cohEmb	2	0	1	1	1	99	1	38	1	22	0	NA
gard	4	0	1	2	matN	0	1	1	1	1	cohEmb	2	0	0	0	1	99	1	34	1	25	1	50
gat	3	0	0	5	matN	0	0	5	8	47	cohEmb	2	0	1	1	1	99	1	28	1	22	0	NA
glu	3	0	0	3	matN	0	0	3	2	10	cohEmb	0	0	0	0	1	99	1	25	1	12	0	NA
grik	4	0	0	1	matN	0	0	1	1	4	cohEmb	3	0	0	2	1	99	1	37	1	25	1	49
