wrd	len	exembed	embed	nbs	adds	dels	subs	rhy1	rhy2	cohs	cohshort	cohlong	cohsame
part	4	3	3	8	2	3	3	4	4	12	0	7	2
parti	5	0	5	2	1	1	0	0	0	12	3	5	1
partli	6	0	4	1	0	1	0	0	0	12	6	2	2
pasxbli	7	0	1	0	0	0	0	0	0	12	8	0	1
pasxbxl	7	0	1	0	0	0	0	0	0	12	8	0	1
pat	3	1	0	10	3	0	7	8	47	12	0	10	2
pi	2	8	0	9	2	0	7	27	2	3	0	3	0
pik	3	1	1	4	1	1	2	4	21	3	0	1	1
pipxl	5	0	2	0	0	0	0	0	1	3	3	0	0
pis	3	0	1	3	0	1	2	2	9	3	0	1	1
plat	4	0	1	3	0	2	1	2	8	2	0	0	2
plxg	4	0	1	2	0	0	2	1	3	2	0	0	2
plxs	4	0	2	1	0	0	1	0	3	2	0	0	2
prabxbli	8	0	2	0	0	0	0	0	0	5	2	0	1
prabxbxl	8	0	3	0	0	0	0	0	0	5	2	0	1
pradus	6	0	3	0	0	0	0	0	0	5	0	4	0
pradxkt	7	0	4	0	0	0	0	0	0	5	1	2	1
pragrxs	7	0	2	0	0	0	0	0	0	5	1	2	1
prist	5	0	1	0	0	0	0	0	3	5	0	5	0
pul	3	0	0	3	0	0	3	4	28	0	0	0	0
pxlis	5	0	1	0	0	0	0	0	0	1	1	0	0
pxt	3	1	1	4	0	0	4	8	47	1	0	1	0
rab	3	2	0	4	0	0	4	1	4	3	0	1	2
rad	3	2	1	5	0	1	4	2	18	3	0	1	2
rak	3	1	0	4	0	0	4	5	21	3	0	1	2
rakxt	5	0	3	1	0	0	1	1	2	3	3	0	0
rid	3	1	0	6	1	0	5	7	18	2	0	1	1
ril	3	1	0	6	1	0	5	4	28	2	0	1	1
rili	4	0	1	1	0	1	0	0	5	2	0	0	0
rul	3	1	0	5	0	0	5	4	28	2	0	1	1
rupi	4	0	1	0	0	0	0	0	2	2	0	0	0
rut	3	0	0	4	0	0	4	4	47	2	0	1	1
rxb	3	1	1	2	0	0	2	1	4	3	0	2	1
rxgxd	5	0	1	0	0	0	0	0	0	3	2	0	1
rxh	3	2	1	3	2	0	1	2	2	3	0	2	1
rxsxl	5	0	2	0	0	0	0	0	0	3	2	0	1
salxd	5	0	1	0	0	0	0	0	1	1	0	0	0
sari	4	0	1	0	0	0	0	0	3	1	0	1	0
si	2	8	0	16	5	0	11	27	1	6	0	6	0
sid	3	1	1	9	1	1	7	7	18	6	0	1	4
sik	3	1	1	8	1	1	6	4	21	6	0	1	4
sikrxt	6	0	3	0	0	0	0	0	0	6	6	0	0
sil	3	0	1	8	1	1	6	4	28	6	0	1	4
sis	3	0	1	6	0	1	5	2	9	6	0	1	4
sit	3	0	2	10	1	2	7	7	47	6	0	1	4
skar	4	0	2	2	0	1	1	1	7	2	0	0	2
skru	4	0	1	1	0	1	0	1	4	2	0	0	2
skul	4	0	1	1	0	1	0	1	4	2	0	0	2
slip	4	1	1	4	1	1	2	2	7	2	0	0	2
slit	4	0	1	2	0	1	1	0	7	2	0	0	2
slxg	4	0	1	1	0	0	1	1	3	2	0	0	2
spark	5	0	4	1	0	1	0	1	4	3	0	0	0
spat	4	0	1	1	0	1	0	1	8	3	0	1	2
spid	4	0	1	2	0	1	1	0	7	3	0	1	2
spik	4	0	2	3	0	2	1	1	4	3	0	1	2
stak	4	0	0	2	0	0	2	0	5	13	0	9	4
stap	4	0	1	4	0	1	3	1	6	13	0	9	4
star	4	2	2	6	1	1	4	2	7	13	0	9	4
start	5	1	4	1	0	1	0	0	4	13	0	4	4
startxl	7	0	6	0	0	0	0	0	0	13	10	0	1
stil	4	0	1	2	0	1	1	0	4	13	0	9	4
stip	4	0	1	3	0	0	3	0	7	13	0	9	4
strik	5	0	1	2	0	0	2	0	1	13	0	4	4
strit	5	0	3	2	0	1	1	1	2	13	0	4	4
strxgxl	7	0	1	0	0	0	0	0	0	13	10	0	1
strxk	5	0	2	2	0	1	1	1	1	13	0	4	4
stupxd	6	0	2	0	0	0	0	0	0	13	5	2	1
stxdi	5	1	1	2	1	0	1	0	0	13	0	4	4
stxdid	6	0	3	1	0	1	0	0	0	13	5	2	1
su	2	2	0	5	1	0	4	10	0	2	0	2	0
sut	3	1	1	5	0	1	4	4	47	2	0	1	0
sutxbxl	7	0	3	0	0	0	0	0	0	2	2	0	0
sxbstxtut	9	0	2	0	0	0	0	0	0	3	3	0	0
sxk	3	1	1	4	0	0	4	5	21	3	0	3	0
sxksid	6	0	4	0	0	0	0	0	0	3	1	1	0
sxtxl	5	0	1	0	0	0	0	0	2	3	1	2	0
tap	3	1	0	5	1	0	4	6	20	2	0	1	1
tar	3	5	1	6	1	1	4	7	7	2	0	1	1
targxt	6	0	3	0	0	0	0	0	0	2	2	0	0
ti	2	6	0	7	1	0	6	27	4	0	0	0	0
trat	4	0	0	1	0	0	1	0	8	10	0	5	3
tri	3	4	0	4	1	1	2	3	27	10	0	9	1
trit	4	2	2	6	2	1	3	2	7	10	0	5	3
triti	5	0	4	1	0	1	0	0	0	10	2	2	2
tru	3	2	0	7	1	1	5	4	10	10	0	9	1
truli	5	0	2	0	0	0	0	0	0	10	2	2	2
trup	4	0	1	2	0	1	1	1	2	10	0	5	3
trxbxl	6	0	2	0	0	0	0	0	5	10	6	0	1
trxk	4	1	1	1	1	0	0	1	5	10	0	5	3
trxst	5	1	2	2	1	0	1	0	2	10	2	2	2
trxsti	6	0	4	1	0	1	0	0	0	10	6	0	1
tu	2	4	0	8	3	0	5	10	0	2	0	2	0
tub	3	0	1	2	0	1	1	0	4	2	0	0	1
tul	3	0	1	5	0	1	4	4	28	2	0	0	1
x	1	78	0	4	2	0	2	1	0	11	0	11	0
xbrxpt	6	0	2	0	0	0	0	0	0	0	0	0	0
xdapt	5	0	1	0	0	0	0	0	0	1	0	0	1
xdxlt	5	0	2	0	0	0	0	0	0	1	0	0	1
xgli	4	0	1	1	0	0	1	0	5	1	0	0	1
xgri	4	0	1	1	0	0	1	0	3	1	0	0	1
xlat	4	0	2	2	0	1	1	2	8	0	0	0	0
xp	2	5	1	3	1	1	1	20	1	2	0	2	0
xpart	5	0	6	1	0	1	0	1	4	2	1	0	0
xpil	4	0	3	0	0	0	0	0	4	2	1	1	0
xs	2	10	1	3	1	1	1	9	3	1	0	1	0
xslip	5	0	4	1	0	1	0	1	2	1	1	0	0
