wrd	len	exembed	embed	nbs	matN	adds	dels	subs	rhy1	rhy2	cohEmb	cohs	cohshort	cohlong	cohsame	peakAcc	peakRt	DiffAcc	DiffRt	cdiffAcc	cdiffRt	abzAcc	abzRt
hi	2	3	0	9	matN	2	0	7	27	0	cohEmb	3	0	3	0	1	99	1	30	1	12	0	NA
hild	4	0	1	0	matN	0	0	0	0	0	cohEmb	3	1	0	0	1	99	1	38	1	34	1	49
hip	3	0	1	6	matN	0	1	5	7	20	cohEmb	3	0	1	1	1	99	1	34	1	28	1	64
hit	3	0	2	8	matN	0	2	6	7	47	cohEmb	3	0	1	1	1	99	1	35	1	28	1	87
hrxg	4	0	1	1	matN	0	0	1	1	3	cohEmb	0	0	0	0	1	99	1	29	1	14	1	45
hut	3	0	0	6	matN	0	0	6	4	47	cohEmb	0	0	0	0	1	99	1	20	1	9	1	51
hxt	3	0	1	6	matN	0	0	6	8	47	cohEmb	0	0	0	0	1	99	1	26	1	13	1	56
ist	3	3	0	3	matN	2	1	0	7	47	cohEmb	0	0	0	0	1	99	1	29	1	24	0	NA
it	2	8	0	4	matN	4	0	0	47	7	cohEmb	0	0	0	0	1	99	1	29	1	13	0	NA
kalig	5	0	1	0	matN	0	0	0	0	1	cohEmb	5	2	1	0	1	99	1	42	1	36	1	51
kap	3	1	0	9	matN	2	0	7	6	20	cohEmb	5	0	4	1	1	99	1	31	1	14	0	NA
kapi	4	0	2	1	matN	0	1	0	0	2	cohEmb	5	0	2	1	1	99	1	53	1	45	1	62
kar	3	3	1	8	matN	2	1	5	7	7	cohEmb	5	0	4	1	1	99	1	30	1	23	0	NA
kard	4	0	2	2	matN	0	1	1	1	1	cohEmb	5	0	2	1	1	99	1	51	1	44	1	61
karpxt	6	0	4	0	matN	0	0	0	0	0	cohEmb	5	4	0	0	1	99	1	78	1	73	1	75
ki	2	2	0	7	matN	1	0	6	27	1	cohEmb	1	0	1	0	1	99	1	26	1	9	0	NA
kip	3	0	1	7	matN	1	1	5	7	20	cohEmb	1	0	0	0	1	99	1	35	1	29	1	96
klak	4	0	1	2	matN	0	1	1	2	5	cohEmb	2	0	0	1	1	99	1	33	1	27	1	53
klu	3	0	0	3	matN	0	0	3	2	10	cohEmb	2	0	2	0	1	99	1	35	1	22	1	59
klxb	4	0	1	0	matN	0	0	0	0	1	cohEmb	2	0	0	1	1	99	1	32	1	26	1	48
krap	4	0	0	3	matN	0	1	2	1	6	cohEmb	5	0	2	2	1	99	1	40	1	35	1	54
krip	4	0	0	2	matN	0	1	1	0	7	cohEmb	5	0	2	2	1	99	1	34	1	27	1	53
kru	3	3	0	5	matN	1	0	4	4	10	cohEmb	5	0	5	0	1	99	1	28	1	13	1	73
kruhxl	6	0	2	1	matN	0	1	0	0	0	cohEmb	5	4	0	0	1	99	1	65	1	62	1	70
kruxl	5	0	2	1	matN	1	0	0	0	0	cohEmb	5	1	1	0	1	99	1	57	1	53	1	64
krxh	4	0	2	2	matN	0	1	1	2	2	cohEmb	5	0	2	2	1	99	1	32	1	26	1	52
kul	3	1	0	4	matN	1	0	3	4	28	cohEmb	0	0	0	0	1	99	1	41	1	24	1	82
kxp	3	1	2	4	matN	0	1	3	1	20	cohEmb	2	0	1	1	1	99	1	28	1	23	1	67
kxpxl	5	0	3	0	matN	0	0	0	0	1	cohEmb	2	2	0	0	1	99	1	66	1	59	1	69
kxt	3	2	1	4	matN	0	0	4	8	47	cohEmb	2	0	1	1	1	99	1	28	1	13	1	59
labi	4	0	1	1	matN	0	0	1	1	2	cohEmb	2	0	0	0	1	99	1	32	1	26	1	50
lak	3	2	0	6	matN	2	0	4	5	21	cohEmb	2	0	1	1	1	99	1	31	1	22	0	NA
lat	3	2	0	7	matN	2	0	5	8	47	cohEmb	2	0	1	1	1	99	1	29	1	14	0	NA
lid	3	0	0	5	matN	0	0	5	7	18	cohEmb	4	0	2	2	1	99	1	28	1	22	1	65
lig	3	2	0	2	matN	0	0	2	1	5	cohEmb	4	0	2	2	1	99	1	28	1	22	1	62
ligxl	5	0	2	0	matN	0	0	0	0	1	cohEmb	4	3	0	0	1	99	1	55	1	51	1	56
lip	3	2	0	7	matN	1	0	6	7	20	cohEmb	4	0	2	2	1	99	1	29	1	23	1	75
