Feedback_Excitation	Feedback_Inhibition	Continuum_Step	bus_Size	rush_Size	Avg_Size
0.01	-0.15	3	0.041352987	0.11749831	0.07942565
0.01	-0.15	4	0.0	0.0	0.0
0.01	-0.15	5	0.0	0.0	0.0
0.01	-0.15	6	0.0	0.0	0.0
0.01	-0.14	0	0.0	0.0	0.0
0.01	-0.14	1	0.0	0.0	0.0
0.01	-0.14	2	0.0	0.0	0.0
0.01	-0.14	3	0.035073698	0.10121879	0.06814624
0.01	-0.14	4	0.0	0.0	0.0
0.01	-0.14	5	0.0	0.0	0.0
0.01	-0.14	6	0.0	0.0	0.0
0.01	-0.13	0	0.0	0.0	0.0
0.01	-0.13	1	0.0	0.0	0.0
0.01	-0.13	2	0.0	0.0	0.0
0.01	-0.13	3	0.03003484	0.08724937	0.058642104
0.01	-0.13	4	0.0	0.0	0.0
0.01	-0.13	5	0.0	0.0	0.0
0.01	-0.13	6	0.0	0.0	0.0
0.01	-0.12	0	0.0	0.0	0.0
0.01	-0.12	1	0.0	0.0	0.0
0.01	-0.12	2	0.0	0.0	0.0
0.01	-0.12	3	0.02586776	0.07514012	0.05050394
0.01	-0.12	4	0.0	0.0	0.0
0.01	-0.12	5	0.0	0.0	0.0
0.01	-0.12	6	0.0	0.0	0.0
0.01	-0.11	0	0.0	0.0	0.0
0.01	-0.11	1	0.0	0.0	0.0
0.01	-0.11	2	0.0	0.0	0.0
0.01	-0.11	3	0.022385359	0.064596	0.043490678
0.01	-0.11	4	0.0	0.0	0.0
0.01	-0.11	5	0.0	0.0	0.0
0.01	-0.11	6	0.0	0.0	0.0
0.01	-0.1	0	0.0	0.0	0.0
0.01	-0.1	1	0.0	0.0	0.0
0.01	-0.1	2	0.0	0.0	0.0
0.01	-0.1	3	0.019466758	0.05529031	0.037378535
0.01	-0.1	4	0.0	0.0	0.0
0.01	-0.1	5	0.0	0.0	0.0
0.01	-0.1	6	0.0	0.0	0.0
0.01	-0.09	0	0.0	0.0	0.0
0.01	-0.09	1	0.0	0.0	0.0
0.01	-0.09	2	0.0	0.0	0.0
0.01	-0.09	3	0.016900957	0.04703945	0.031970203
0.01	-0.09	4	0.0	0.0	0.0
0.01	-0.09	5	0.0	0.0	0.0
0.01	-0.09	6	0.0	0.0	0.0
0.01	-0.08	0	0.0	0.0	0.0
0.01	-0.08	1	0.0	0.0	0.0
0.01	-0.08	2	0.0	0.0	0.0
0.01	-0.08	3	0.014678657	0.039720386	0.027199522
0.01	-0.08	4	0.0	0.0	0.0
0.01	-0.08	5	0.0	0.0	0.0
0.01	-0.08	6	0.0	0.0	0.0
0.01	-0.07	0	0.0	0.0	0.0
0.01	-0.07	1	0.0	0.0	0.0
0.01	-0.07	2	0.0	0.0	0.0
0.01	-0.07	3	0.012624025	0.03320229	0.022913158
0.01	-0.07	4	0.0	0.0	0.0
0.01	-0.07	5	0.0	0.0	0.0
0.01	-0.07	6	0.0	0.0	0.0
0.01	-0.06	0	0.0	0.0	0.0
0.01	-0.06	1	0.0	0.0	0.0
0.01	-0.06	2	0.0	0.0	0.0
0.01	-0.06	3	0.010689378	0.027378023	0.0190337
0.01	-0.06	4	0.0	0.0	0.0
0.01	-0.06	5	0.0	0.0	0.0
0.01	-0.06	6	0.0	0.0	0.0
0.01	-0.05	0	0.0	0.0	0.0
0.01	-0.05	1	0.0	0.0	0.0
0.01	-0.05	2	0.0	0.0	0.0
0.01	-0.05	3	0.00887382	0.022171527	0.015522674
0.01	-0.05	4	0.0	0.0	0.0
0.01	-0.05	5	0.0	0.0	0.0
0.01	-0.05	6	0.0	0.0	0.0
0.01	-0.04	0	0.0	0.0	0.0
0.01	-0.04	1	0.0	0.0	0.0
0.01	-0.04	2	0.0	0.0	0.0
0.01	-0.04	3	0.0071620345	0.017487824	0.012324929
0.01	-0.04	4	0.0	0.0	0.0
0.01	-0.04	5	0.0	0.0	0.0
0.01	-0.04	6	0.0	0.0	0.0
0.01	-0.03	0	0.0	0.0	0.0
0.01	-0.03	1	0.0	0.0	0.0
0.01	-0.03	2	0.0	0.0	0.0
0.01	-0.03	3	0.0055220723	0.013257444	0.009389758
0.01	-0.03	4	0.0	0.0	0.0
0.01	-0.03	5	0.0	0.0	0.0
0.01	-0.03	6	0.0	0.0	0.0
0.01	-0.02	0	0.0	0.0	0.0
0.01	-0.02	1	0.0	0.0	0.0
0.01	-0.02	2	0.0	0.0	0.0
0.01	-0.02	3	0.0039851665	0.0094359815	0.006710574
0.01	-0.02	4	0.0	0.0	0.0
0.01	-0.02	5	0.0	0.0	0.0
0.01	-0.02	6	0.0	0.0	0.0
0.01	-0.01	0	0.0	0.0	0.0
0.01	-0.01	1	0.0	0.0	0.0
0.01	-0.01	2	0.0	0.0	0.0
0.01	-0.01	3	0.0025572777	0.005978793	0.0042680353
0.01	-0.01	4	0.0	0.0	0.0
0.01	-0.01	5	0.0	0.0	0.0
0.01	-0.01	6	0.0	0.0	0.0
0.01	0.0	0	0.051222827	-0.015069246	0.01807679
0.01	0.0	1	0.05805554	-0.035356343	0.011349598
0.01	0.0	2	0.07028393	-0.044563413	0.012860257
0.01	0.0	3	0.002599299	0.0049566925	0.0037779957
0.01	0.0	4	-0.048538625	0.07334467	0.0124030225
0.01	0.0	5	-0.0402233	0.062179737	0.010978218
0.01	0.0	6	-0.035225153	0.04460325	0.004689049
0.02	-0.15	0	0.0	0.0	0.0
0.02	-0.15	1	0.0	0.0	0.0
0.02	-0.15	2	0.0	0.0	0.0
0.02	-0.15	3	0.04491651	0.12722275	0.08606963
0.02	-0.15	4	0.0	0.0	0.0
0.02	-0.15	5	0.0	0.0	0.0
0.02	-0.15	6	0.0	0.0	0.0
0.02	-0.14	0	0.0	0.0	0.0
0.02	-0.14	1	0.0	0.0	0.0
0.02	-0.14	2	0.0	0.0	0.0
0.02	-0.14	3	0.038061738	0.10970625	0.073883995
0.02	-0.14	4	0.0	0.0	0.0
0.02	-0.14	5	0.0	0.0	0.0
0.02	-0.14	6	0.0	0.0	0.0
0.02	-0.13	0	0.0	0.0	0.0
0.02	-0.13	1	0.0	0.0	0.0
0.02	-0.13	2	0.0	0.0	0.0
0.02	-0.13	3	0.03259778	0.09479353	0.063695654
0.02	-0.13	4	0.0	0.0	0.0
0.02	-0.13	5	0.0	0.0	0.0
0.02	-0.13	6	0.0	0.0	0.0
0.02	-0.12	0	0.0	0.0	0.0
0.02	-0.12	1	0.0	0.0	0.0
0.02	-0.12	2	0.0	0.0	0.0
0.02	-0.12	3	0.028122663	0.081898004	0.055010334
0.02	-0.12	4	0.0	0.0	0.0
0.02	-0.12	5	0.0	0.0	0.0
0.02	-0.12	6	0.0	0.0	0.0
0.02	-0.11	0	0.0	0.0	0.0
0.02	-0.11	1	0.0	0.0	0.0
0.02	-0.11	2	0.0	0.0	0.0
0.02	-0.11	3	0.024443507	0.07068804	0.047565773
0.02	-0.11	4	0.0	0.0	0.0
0.02	-0.11	5	0.0	0.0	0.0
0.02	-0.11	6	0.0	0.0	0.0
0.02	-0.1	0	0.0	0.0	0.0
0.02	-0.1	1	0.0	0.0	0.0
0.02	-0.1	2	0.0	0.0	0.0
0.02	-0.1	3	0.021342337	0.06085655	0.041099444
0.02	-0.1	4	0.0	0.0	0.0
0.02	-0.1	5	0.0	0.0	0.0
0.02	-0.1	6	0.0	0.0	0.0
0.02	-0.09	0	0.0	0.0	0.0
0.02	-0.09	1	0.0	0.0	0.0
0.02	-0.09	2	0.0	0.0	0.0
0.02	-0.09	3	0.018642485	0.05214432	0.035393402
0.02	-0.09	4	0.0	0.0	0.0
0.02	-0.09	5	0.0	0.0	0.0
0.02	-0.09	6	0.0	0.0	0.0
0.02	-0.08	0	0.0	0.0	0.0
0.02	-0.08	1	0.0	0.0	0.0
0.02	-0.08	2	0.0	0.0	0.0
0.02	-0.08	3	0.016321182	0.04442811	0.030374646
0.02	-0.08	4	0.0	0.0	0.0
0.02	-0.08	5	0.0	0.0	0.0
0.02	-0.08	6	0.0	0.0	0.0
0.02	-0.07	0	0.0	0.0	0.0
0.02	-0.07	1	0.0	0.0	0.0
0.02	-0.07	2	0.0	0.0	0.0
0.02	-0.07	3	0.014203906	0.037560433	0.02588217
0.02	-0.07	4	0.0	0.0	0.0
0.02	-0.07	5	0.0	0.0	0.0
0.02	-0.07	6	0.0	0.0	0.0
0.02	-0.06	0	0.0	0.0	0.0
0.02	-0.06	1	0.0	0.0	0.0
0.02	-0.06	2	0.0	0.0	0.0
0.02	-0.06	3	0.012203395	0.031431347	0.021817371
0.02	-0.06	4	0.0	0.0	0.0
0.02	-0.06	5	0.0	0.0	0.0
0.02	-0.06	6	0.0	0.0	0.0
0.02	-0.05	0	0.0	0.0	0.0
0.02	-0.05	1	0.0	0.0	0.0
0.02	-0.05	2	0.0	0.0	0.0
0.02	-0.05	3	0.010329843	0.025952876	0.01814136
0.02	-0.05	4	0.0	0.0	0.0
0.02	-0.05	5	0.0	0.0	0.0
0.02	-0.05	6	0.0	0.0	0.0
0.02	-0.04	0	0.0	0.0	0.0
0.02	-0.04	1	0.0	0.0	0.0
0.02	-0.04	2	0.0	0.0	0.0
0.02	-0.04	3	0.008567333	0.02103883	0.014803082
0.02	-0.04	4	0.0	0.0	0.0
0.02	-0.04	5	0.0	0.0	0.0
0.02	-0.04	6	0.0	0.0	0.0
0.02	-0.03	0	0.0	0.0	0.0
