Participant_Index	Noise_LOC	Reaction_Time	Accuracy
0	0	39.60476190476191	0.9905660377358491
0	0.01	39.76470588235294	0.9622641509433962
0	0.02	44.901315789473685	0.7169811320754716
0	0.03	50.955882352941174	0.32075471698113206
0	0.04	43.4375	0.07547169811320754
0	0.05	43.4	0.02358490566037736
0	0.06	27.0	0.02830188679245283
0	0.07	41.0	0.014150943396226415
0	0.08	19.0	0.0047169811320754715
0	0.09	21.0	0.009433962264150943
0	0.1	20.0	0.0047169811320754715
0	0.11	56.5	0.009433962264150943
0	0.12	17.0	0.0047169811320754715
0	0.13	23.0	0.0047169811320754715
0	0.14	14.0	0.0047169811320754715
0	0.15	20.0	0.0047169811320754715
1	0	39.60476190476191	0.9905660377358491
1	0.01	40.38423645320197	0.9575471698113207
1	0.02	45.03846153846154	0.7358490566037735
1	0.03	49.51470588235294	0.32075471698113206
1	0.04	51.411764705882355	0.08018867924528301
1	0.05	45.6	0.02358490566037736
1	0.06	13.5	0.009433962264150943
1	0.07	47.0	0.009433962264150943
1	0.08	44.333333333333336	0.014150943396226415
1	0.09	45.333333333333336	0.014150943396226415
1	0.1	32.5	0.018867924528301886
1	0.11	17.0	0.0047169811320754715
1	0.12	15.0	0.0047169811320754715
1	0.13	13.0	0.0047169811320754715
1	0.14	18.0	0.0047169811320754715
1	0.15	15.0	0.0047169811320754715
2	0	39.60476190476191	0.9905660377358491
2	0.01	40.279411764705884	0.9622641509433962
2	0.02	45.57236842105263	0.7169811320754716
2	0.03	49.984848484848484	0.3113207547169811
2	0.04	52.3125	0.07547169811320754
2	0.05	29.714285714285715	0.0330188679245283
2	0.06	36.0	0.014150943396226415
2	0.07	27.0	0.0047169811320754715
2	0.08	16.0	0.0047169811320754715
2	0.09	16.333333333333332	0.014150943396226415
2	0.1	14.0	0.0047169811320754715
2	0.11	15.0	0.0047169811320754715
2	0.12	12.5	0.009433962264150943
2	0.13	24.0	0.0047169811320754715
2	0.14	51.5	0.009433962264150943
2	0.15	20.0	0.0047169811320754715
3	0	39.60476190476191	0.9905660377358491
3	0.01	39.833333333333336	0.9622641509433962
3	0.02	45.12820512820513	0.7358490566037735
3	0.03	49.888888888888886	0.33962264150943394
3	0.04	43.4	0.07075471698113207
3	0.05	30.5	0.018867924528301886
3	0.06	59.0	0.014150943396226415
3	0.07	20.0	0.009433962264150943
3	0.08	50.0	0.014150943396226415
3	0.09	22.0	0.0047169811320754715
3	0.1	15.0	0.009433962264150943
3	0.11	14.0	0.0047169811320754715
3	0.12	37.0	0.014150943396226415
3	0.13	13.0	0.009433962264150943
3	0.14	16.5	0.009433962264150943
3	0.15	17.0	0.0047169811320754715
4	0	39.60476190476191	0.9905660377358491
4	0.01	40.4264705882353	0.9622641509433962
4	0.02	45.23026315789474	0.7169811320754716
4	0.03	49.7	0.330188679245283
4	0.04	46.07142857142857	0.0660377358490566
4	0.05	39.285714285714285	0.0330188679245283
4	0.06	61.333333333333336	0.014150943396226415
4	0.07	50.5	0.009433962264150943
4	0.08	17.0	0.0047169811320754715
4	0.09	13.0	0.0047169811320754715
4	0.1	41.0	0.014150943396226415
4	0.11	14.0	0.014150943396226415
4	0.12	13.0	0.0047169811320754715
4	0.13	19.0	0.009433962264150943
4	0.14	11.0	0.0047169811320754715
4	0.15	55.0	0.009433962264150943
5	0	39.60476190476191	0.9905660377358491
5	0.01	39.853658536585364	0.9669811320754716
5	0.02	44.888888888888886	0.7216981132075472
5	0.03	50.6	0.330188679245283
5	0.04	53.0	0.07075471698113207
5	0.05	47.857142857142854	0.0330188679245283
5	0.06	45.0	0.009433962264150943
5	0.07	39.333333333333336	0.014150943396226415
5	0.08	21.0	0.0047169811320754715
5	0.09	25.0	0.0047169811320754715
5	0.1	24.0	0.0047169811320754715
5	0.11	16.0	0.009433962264150943
5	0.12	24.0	0.0047169811320754715
5	0.13	14.0	0.0047169811320754715
5	0.14	19.0	0.0047169811320754715
5	0.15	20.0	0.0047169811320754715
6	0	39.60476190476191	0.9905660377358491
6	0.01	40.048780487804876	0.9669811320754716
6	0.02	45.477987421383645	0.75
6	0.03	51.394366197183096	0.33490566037735847
6	0.04	49.0	0.07547169811320754
6	0.05	45.75	0.018867924528301886
6	0.06	21.0	0.009433962264150943
6	0.07	17.5	0.018867924528301886
6	0.08	21.5	0.009433962264150943
6	0.09	57.0	0.009433962264150943
6	0.1	18.0	0.009433962264150943
6	0.11	13.0	0.0047169811320754715
6	0.12	22.0	0.0047169811320754715
6	0.13	20.0	0.0047169811320754715
6	0.14	18.0	0.009433962264150943
6	0.15	19.0	0.0047169811320754715
7	0	39.60476190476191	0.9905660377358491
7	0.01	39.78431372549019	0.9622641509433962
7	0.02	45.096774193548384	0.7311320754716981
7	0.03	49.72463768115942	0.32547169811320753
7	0.04	49.666666666666664	0.07075471698113207
7	0.05	44.0	0.02358490566037736
7	0.06	55.5	0.009433962264150943
7	0.07	25.0	0.0047169811320754715
7	0.08	14.5	0.009433962264150943
7	0.09	49.5	0.009433962264150943
