Participant_Index	Noise_LOC	Reaction_Time	Accuracy
0	0	41.019417475728154	0.9716981132075472
0	0.01	40.38805970149254	0.9481132075471698
0	0.02	42.90673575129534	0.910377358490566
0	0.03	47.490566037735846	0.75
0	0.04	54.63265306122449	0.46226415094339623
0	0.05	63.72727272727273	0.25943396226415094
0	0.06	64.88888888888889	0.16981132075471697
0	0.07	65.95652173913044	0.10849056603773585
0	0.08	64.94117647058823	0.08018867924528301
0	0.09	66.3076923076923	0.06132075471698113
0	0.1	61.583333333333336	0.05660377358490566
0	0.11	56.55555555555556	0.04245283018867924
0	0.12	60.25	0.03773584905660377
0	0.13	64.77777777777777	0.04245283018867924
0	0.14	55.333333333333336	0.02830188679245283
0	0.15	61.666666666666664	0.02830188679245283
1	0	41.019417475728154	0.9716981132075472
1	0.01	40.71782178217822	0.9528301886792453
1	0.02	43.19072164948454	0.9150943396226415
1	0.03	47.92356687898089	0.7405660377358491
1	0.04	54.80952380952381	0.49528301886792453
1	0.05	60.189655172413794	0.27358490566037735
1	0.06	62.94117647058823	0.16037735849056603
1	0.07	68.85714285714286	0.09905660377358491
1	0.08	65.10526315789474	0.08962264150943396
1	0.09	75.78571428571429	0.0660377358490566
1	0.1	68.25	0.05660377358490566
1	0.11	73.0909090909091	0.05188679245283019
1	0.12	61.375	0.03773584905660377
1	0.13	62.166666666666664	0.02830188679245283
1	0.14	63.714285714285715	0.0330188679245283
1	0.15	60.5	0.02830188679245283
2	0	41.019417475728154	0.9716981132075472
2	0.01	40.87128712871287	0.9528301886792453
2	0.02	42.125	0.9056603773584906
2	0.03	47.87096774193548	0.7311320754716981
2	0.04	56.19	0.4716981132075472
2	0.05	61.53846153846154	0.24528301886792453
2	0.06	68.15151515151516	0.15566037735849056
2	0.07	67.96153846153847	0.12264150943396226
2	0.08	63.473684210526315	0.08962264150943396
2	0.09	69.6	0.07075471698113207
2	0.1	66.41666666666667	0.05660377358490566
2	0.11	65.91666666666667	0.05660377358490566
2	0.12	66.5	0.04716981132075472
2	0.13	65.375	0.03773584905660377
2	0.14	60.2	0.02358490566037736
2	0.15	65.33333333333333	0.02830188679245283
3	0	41.019417475728154	0.9716981132075472
3	0.01	40.777227722772274	0.9528301886792453
3	0.02	42.68041237113402	0.9150943396226415
3	0.03	48.261146496815286	0.7405660377358491
3	0.04	55.13861386138614	0.47641509433962265
3	0.05	60.872727272727275	0.25943396226415094
3	0.06	64.75	0.16981132075471697
3	0.07	69.20833333333333	0.11320754716981132
3	0.08	72.44444444444444	0.08490566037735849
3	0.09	69.9375	0.07547169811320754
3	0.1	67.5	0.05660377358490566
3	0.11	70.3	0.04716981132075472
3	0.12	67.125	0.03773584905660377
3	0.13	61.6	0.02358490566037736
3	0.14	65.33333333333333	0.02830188679245283
3	0.15	53.2	0.02358490566037736
4	0	41.019417475728154	0.9716981132075472
4	0.01	40.73267326732673	0.9528301886792453
4	0.02	43.076142131979694	0.9292452830188679
4	0.03	48.23076923076923	0.7358490566037735
4	0.04	54.92307692307692	0.49056603773584906
4	0.05	62.44827586206897	0.27358490566037735
4	0.06	64.58064516129032	0.14622641509433962
4	0.07	64.3913043478261	0.10849056603773585
4	0.08	69.11111111111111	0.08490566037735849
4	0.09	68.13333333333334	0.07075471698113207
4	0.1	65.41666666666667	0.05660377358490566
4	0.11	71.4	0.04716981132075472
4	0.12	63.875	0.03773584905660377
4	0.13	56.142857142857146	0.0330188679245283
4	0.14	56.833333333333336	0.02830188679245283
4	0.15	65.83333333333333	0.02830188679245283
5	0	41.019417475728154	0.9716981132075472
5	0.01	40.81683168316832	0.9528301886792453
5	0.02	43.343589743589746	0.9198113207547169
5	0.03	48.5625	0.7547169811320755
5	0.04	55.03846153846154	0.49056603773584906
5	0.05	60.06896551724138	0.27358490566037735
5	0.06	63.0	0.15566037735849056
5	0.07	63.5	0.09433962264150944
5	0.08	65.1875	0.07547169811320754
5	0.09	67.16666666666667	0.05660377358490566
5	0.1	62.75	0.05660377358490566
5	0.11	70.81818181818181	0.05188679245283019
5	0.12	68.5	0.03773584905660377
5	0.13	52.125	0.03773584905660377
5	0.14	54.4	0.02358490566037736
5	0.15	63.833333333333336	0.02830188679245283
6	0	41.019417475728154	0.9716981132075472
6	0.01	40.96517412935324	0.9481132075471698
6	0.02	42.44329896907217	0.9150943396226415
6	0.03	48.30769230769231	0.7358490566037735
6	0.04	53.13861386138614	0.47641509433962265
6	0.05	59.18181818181818	0.25943396226415094
6	0.06	63.351351351351354	0.17452830188679244
6	0.07	67.9047619047619	0.09905660377358491
6	0.08	69.84210526315789	0.08962264150943396
6	0.09	72.0	0.07547169811320754
6	0.1	68.45454545454545	0.05188679245283019
6	0.11	72.2	0.04716981132075472
6	0.12	68.9	0.04716981132075472
6	0.13	64.75	0.03773584905660377
6	0.14	65.5	0.02830188679245283
6	0.15	37.6	0.02358490566037736
7	0	41.019417475728154	0.9716981132075472
7	0.01	40.52238805970149	0.9481132075471698
7	0.02	42.97938144329897	0.9150943396226415
7	0.03	48.838509316770185	0.7594339622641509
7	0.04	55.51456310679612	0.4858490566037736
7	0.05	60.43859649122807	0.2688679245283019
7	0.06	67.6	0.1650943396226415
7	0.07	65.0	0.09905660377358491
7	0.08	60.888888888888886	0.08490566037735849
7	0.09	65.4375	0.07547169811320754
7	0.1	70.54545454545455	0.05188679245283019
7	0.11	66.44444444444444	0.04245283018867924
7	0.12	61.333333333333336	0.04245283018867924
7	0.13	62.142857142857146	0.0330188679245283
7	0.14	53.333333333333336	0.02830188679245283
7	0.15	55.8	0.02358490566037736
8	0	41.019417475728154	0.9716981132075472
8	0.01	41.0547263681592	0.9481132075471698
8	0.02	42.917098445595855	0.910377358490566
8	0.03	47.86538461538461	0.7358490566037735
8	0.04	55.772277227722775	0.47641509433962265
8	0.05	62.810344827586206	0.27358490566037735
8	0.06	63.63636363636363	0.15566037735849056
8	0.07	69.0909090909091	0.10377358490566038
8	0.08	69.57142857142857	0.0660377358490566
8	0.09	65.14285714285714	0.0660377358490566
8	0.1	64.0	0.07547169811320754
8	0.11	69.91666666666667	0.05660377358490566
8	0.12	70.11111111111111	0.04245283018867924
8	0.13	65.75	0.03773584905660377
8	0.14	60.666666666666664	0.02830188679245283
