Participant_Index	Noise_LOC	Reaction_Time	Accuracy
0	0	38.95238095238095	0.9905660377358491
0	0.01	39.37980769230769	0.9811320754716981
0	0.02	41.42786069651741	0.9481132075471698
0	0.03	46.340782122905026	0.8443396226415094
0	0.04	49.07462686567164	0.6320754716981132
0	0.05	56.427083333333336	0.4528301886792453
0	0.06	59.16949152542373	0.2783018867924528
0	0.07	58.8125	0.1509433962264151
0	0.08	60.666666666666664	0.07075471698113207
0	0.09	59.07692307692308	0.06132075471698113
0	0.1	65.125	0.03773584905660377
0	0.11	42.42857142857143	0.0330188679245283
0	0.12	34.25	0.018867924528301886
0	0.13	14.5	0.009433962264150943
0	0.14	55.0	0.009433962264150943
0	0.15	16.0	0.009433962264150943
1	0	38.95238095238095	0.9905660377358491
1	0.01	39.49519230769231	0.9811320754716981
1	0.02	40.960396039603964	0.9528301886792453
1	0.03	45.48022598870057	0.8349056603773585
1	0.04	49.90510948905109	0.6462264150943396
1	0.05	56.43157894736842	0.4481132075471698
1	0.06	62.8	0.2830188679245283
1	0.07	60.83870967741935	0.14622641509433962
1	0.08	60.588235294117645	0.08018867924528301
1	0.09	55.72727272727273	0.05188679245283019
1	0.1	58.5	0.03773584905660377
1	0.11	49.8	0.02358490566037736
1	0.12	66.75	0.018867924528301886
1	0.13	56.0	0.009433962264150943
1	0.14	46.5	0.009433962264150943
1	0.15	13.0	0.009433962264150943
2	0	38.95238095238095	0.9905660377358491
2	0.01	39.56730769230769	0.9811320754716981
2	0.02	41.08955223880597	0.9481132075471698
2	0.03	46.168539325842694	0.839622641509434
2	0.04	50.67142857142857	0.660377358490566
2	0.05	56.479166666666664	0.4528301886792453
2	0.06	59.20338983050848	0.2783018867924528
2	0.07	60.80769230769231	0.12264150943396226
2	0.08	55.0	0.07547169811320754
2	0.09	59.666666666666664	0.05660377358490566
2	0.1	41.857142857142854	0.0330188679245283
2	0.11	49.4	0.02358490566037736
2	0.12	32.666666666666664	0.014150943396226415
2	0.13	41.666666666666664	0.014150943396226415
2	0.14	25.0	0.0047169811320754715
2	0.15	19.0	0.0047169811320754715
3	0	38.95238095238095	0.9905660377358491
3	0.01	39.51442307692308	0.9811320754716981
3	0.02	41.065	0.9433962264150944
3	0.03	46.08426966292135	0.839622641509434
3	0.04	51.338235294117645	0.6415094339622641
3	0.05	53.93617021276596	0.44339622641509435
3	0.06	60.71186440677966	0.2783018867924528
3	0.07	59.96774193548387	0.14622641509433962
3	0.08	54.9375	0.07547169811320754
3	0.09	47.81818181818182	0.05188679245283019
3	0.1	65.0	0.03773584905660377
3	0.11	69.0	0.0330188679245283
3	0.12	44.5	0.018867924528301886
3	0.13	22.0	0.0047169811320754715
3	0.14	12.5	0.009433962264150943
3	0.15	13.0	0.0047169811320754715
4	0	38.95238095238095	0.9905660377358491
4	0.01	39.30288461538461	0.9811320754716981
4	0.02	40.96534653465346	0.9528301886792453
4	0.03	45.960893854748605	0.8443396226415094
4	0.04	49.58646616541353	0.6273584905660378
4	0.05	54.655913978494624	0.4386792452830189
4	0.06	57.86440677966102	0.2783018867924528
4	0.07	58.291666666666664	0.11320754716981132
4	0.08	60.705882352941174	0.08018867924528301
4	0.09	59.333333333333336	0.05660377358490566
4	0.1	67.88888888888889	0.04245283018867924
4	0.11	53.833333333333336	0.02830188679245283
4	0.12	69.5	0.018867924528301886
4	0.13	41.333333333333336	0.014150943396226415
4	0.14	53.0	0.009433962264150943
4	0.15	12.0	0.0047169811320754715
5	0	38.95238095238095	0.9905660377358491
5	0.01	39.51923076923077	0.9811320754716981
5	0.02	41.960396039603964	0.9528301886792453
5	0.03	45.80571428571429	0.8254716981132075
5	0.04	49.67669172932331	0.6273584905660378
5	0.05	56.303030303030305	0.4669811320754717
5	0.06	59.67796610169491	0.2783018867924528
5	0.07	57.13793103448276	0.13679245283018868
5	0.08	60.625	0.07547169811320754
5	0.09	47.09090909090909	0.05188679245283019
5	0.1	60.55555555555556	0.04245283018867924
5	0.11	60.6	0.02358490566037736
5	0.12	49.5	0.009433962264150943
5	0.13	51.5	0.009433962264150943
5	0.14	19.0	0.0047169811320754715
5	0.15	17.0	0.014150943396226415
6	0	38.95238095238095	0.9905660377358491
6	0.01	39.57211538461539	0.9811320754716981
6	0.02	41.45273631840796	0.9481132075471698
6	0.03	45.85310734463277	0.8349056603773585
6	0.04	49.621212121212125	0.6226415094339622
6	0.05	55.55102040816327	0.46226415094339623
6	0.06	59.3	0.2830188679245283
6	0.07	59.44444444444444	0.12735849056603774
6	0.08	55.285714285714285	0.0660377358490566
6	0.09	49.8	0.04716981132075472
6	0.1	50.285714285714285	0.0330188679245283
6	0.11	62.42857142857143	0.0330188679245283
6	0.12	59.0	0.014150943396226415
6	0.13	61.666666666666664	0.014150943396226415
6	0.14	15.5	0.009433962264150943
6	0.15	29.0	0.0047169811320754715
7	0	38.95238095238095	0.9905660377358491
7	0.01	38.99519230769231	0.9811320754716981
7	0.02	41.3134328358209	0.9481132075471698
7	0.03	46.258426966292134	0.839622641509434
7	0.04	49.940298507462686	0.6320754716981132
7	0.05	56.385416666666664	0.4528301886792453
7	0.06	59.278688524590166	0.28773584905660377
7	0.07	59.48148148148148	0.12735849056603774
7	0.08	59.125	0.07547169811320754
7	0.09	53.2	0.04716981132075472
7	0.1	53.25	0.03773584905660377
7	0.11	32.4	0.02358490566037736
7	0.12	17.0	0.014150943396226415
7	0.13	20.5	0.009433962264150943
7	0.14	21.0	0.0047169811320754715
7	0.15	17.0	0.009433962264150943
8	0	38.95238095238095	0.9905660377358491
8	0.01	38.94711538461539	0.9811320754716981
8	0.02	41.12376237623762	0.9528301886792453
8	0.03	47.039106145251395	0.8443396226415094
8	0.04	49.419117647058826	0.6415094339622641
8	0.05	55.42553191489362	0.44339622641509435
8	0.06	57.96551724137931	0.27358490566037735
8	0.07	64.48275862068965	0.13679245283018868
8	0.08	61.11764705882353	0.08018867924528301
8	0.09	50.1	0.04716981132075472
8	0.1	47.375	0.03773584905660377
8	0.11	51.0	0.02358490566037736
8	0.12	53.5	0.018867924528301886
8	0.13	43.666666666666664	0.014150943396226415
8	0.14	20.0	0.0047169811320754715
8	0.15	17.0	0.0047169811320754715
9	0	38.95238095238095	0.9905660377358491
9	0.01	39.44711538461539	0.9811320754716981
9	0.02	41.169154228855724	0.9481132075471698
9	0.03	45.85310734463277	0.8349056603773585
9	0.04	50.33587786259542	0.6179245283018868
9	0.05	57.11340206185567	0.45754716981132076
9	0.06	61.40677966101695	0.2783018867924528
9	0.07	61.903225806451616	0.14622641509433962
9	0.08	54.0	0.07547169811320754
