Participant_Index	Noise_LOC	Reaction_Time	Accuracy
0	0	39.33918128654971	0.8066037735849056
0	0.01	41.70059880239521	0.7877358490566038
0	0.02	48.70857142857143	0.8254716981132075
0	0.03	56.89873417721519	0.7452830188679245
0	0.04	63.06666666666667	0.6367924528301887
0	0.05	65.96969696969697	0.4669811320754717
0	0.06	69.546875	0.3018867924528302
0	0.07	72.38297872340425	0.22169811320754718
0	0.08	73.21621621621621	0.17452830188679244
0	0.09	72.3	0.14150943396226415
0	0.1	74.3	0.09433962264150944
0	0.11	72.05263157894737	0.08962264150943396
0	0.12	69.875	0.07547169811320754
0	0.13	61.72727272727273	0.05188679245283019
0	0.14	75.83333333333333	0.05660377358490566
0	0.15	64.0	0.06132075471698113
1	0	39.33918128654971	0.8066037735849056
1	0.01	41.8698224852071	0.7971698113207547
1	0.02	47.46153846153846	0.7971698113207547
1	0.03	57.475	0.7547169811320755
1	0.04	64.75	0.6415094339622641
1	0.05	65.97826086956522	0.4339622641509434
1	0.06	69.42857142857143	0.2971698113207547
1	0.07	69.6470588235294	0.24056603773584906
1	0.08	69.83333333333333	0.16981132075471697
1	0.09	64.64	0.1179245283018868
1	0.1	72.54545454545455	0.10377358490566038
1	0.11	67.41176470588235	0.08018867924528301
1	0.12	70.8125	0.07547169811320754
1	0.13	66.28571428571429	0.0660377358490566
1	0.14	71.75	0.05660377358490566
1	0.15	67.53846153846153	0.06132075471698113
2	0	39.33918128654971	0.8066037735849056
2	0.01	41.70414201183432	0.7971698113207547
2	0.02	47.028901734104046	0.8160377358490566
2	0.03	58.58181818181818	0.7783018867924528
2	0.04	65.3021582733813	0.6556603773584906
2	0.05	66.90243902439025	0.3867924528301887
2	0.06	69.48484848484848	0.3113207547169811
2	0.07	71.3913043478261	0.2169811320754717
2	0.08	74.08333333333333	0.16981132075471697
2	0.09	69.34615384615384	0.12264150943396226
2	0.1	71.52380952380952	0.09905660377358491
2	0.11	74.73333333333333	0.07075471698113207
2	0.12	65.42857142857143	0.0660377358490566
2	0.13	71.66666666666667	0.05660377358490566
2	0.14	72.53333333333333	0.07075471698113207
2	0.15	61.9	0.04716981132075472
3	0	39.33918128654971	0.8066037735849056
3	0.01	41.27810650887574	0.7971698113207547
3	0.02	48.25	0.8113207547169812
3	0.03	57.107594936708864	0.7452830188679245
3	0.04	63.96969696969697	0.6226415094339622
3	0.05	67.34444444444445	0.42452830188679247
3	0.06	72.3768115942029	0.32547169811320753
3	0.07	71.36363636363636	0.25943396226415094
3	0.08	69.89189189189189	0.17452830188679244
3	0.09	72.11111111111111	0.12735849056603774
3	0.1	74.95454545454545	0.10377358490566038
3	0.11	68.5625	0.07547169811320754
3	0.12	70.05882352941177	0.08018867924528301
3	0.13	72.38461538461539	0.06132075471698113
3	0.14	74.83333333333333	0.05660377358490566
3	0.15	66.8	0.04716981132075472
4	0	39.33918128654971	0.8066037735849056
4	0.01	41.25595238095238	0.7924528301886793
4	0.02	47.43529411764706	0.8018867924528302
4	0.03	55.560509554140125	0.7405660377358491
4	0.04	64.82945736434108	0.6084905660377359
4	0.05	68.58510638297872	0.44339622641509435
4	0.06	67.57352941176471	0.32075471698113206
4	0.07	69.8125	0.22641509433962265
4	0.08	72.87179487179488	0.18396226415094338
4	0.09	69.53846153846153	0.12264150943396226
4	0.1	69.6842105263158	0.08962264150943396
4	0.11	73.55	0.09433962264150944
4	0.12	69.3125	0.07547169811320754
4	0.13	64.15384615384616	0.06132075471698113
4	0.14	68.45454545454545	0.05188679245283019
4	0.15	60.22222222222222	0.04245283018867924
5	0	39.33918128654971	0.8066037735849056
5	0.01	40.68862275449102	0.7877358490566038
5	0.02	47.96470588235294	0.8018867924528302
5	0.03	58.94578313253012	0.7830188679245284
5	0.04	63.87692307692308	0.6132075471698113
5	0.05	66.71910112359551	0.419811320754717
5	0.06	71.19117647058823	0.32075471698113206
5	0.07	71.76744186046511	0.2028301886792453
5	0.08	73.78787878787878	0.15566037735849056
5	0.09	76.06666666666666	0.14150943396226415
5	0.1	73.9047619047619	0.09905660377358491
5	0.11	69.83333333333333	0.08490566037735849
5	0.12	68.86666666666666	0.07075471698113207
5	0.13	76.57142857142857	0.0660377358490566
5	0.14	68.5	0.04716981132075472
5	0.15	71.0	0.05188679245283019
6	0	39.33918128654971	0.8066037735849056
6	0.01	41.05357142857143	0.7924528301886793
6	0.02	48.205714285714286	0.8254716981132075
6	0.03	58.68944099378882	0.7594339622641509
6	0.04	63.4	0.589622641509434
6	0.05	66.74193548387096	0.4386792452830189
6	0.06	72.52173913043478	0.32547169811320753
6	0.07	73.92857142857143	0.19811320754716982
6	0.08	74.72972972972973	0.17452830188679244
6	0.09	72.07692307692308	0.12264150943396226
6	0.1	70.0	0.11320754716981132
6	0.11	71.54545454545455	0.10377358490566038
6	0.12	72.42857142857143	0.0660377358490566
6	0.13	64.25	0.05660377358490566
6	0.14	64.2	0.07075471698113207
6	0.15	59.416666666666664	0.05660377358490566
7	0	39.33918128654971	0.8066037735849056
7	0.01	41.94705882352941	0.8018867924528302
7	0.02	49.245714285714286	0.8254716981132075
7	0.03	57.8780487804878	0.7735849056603774
7	0.04	64.32592592592593	0.6367924528301887
7	0.05	66.26315789473684	0.4481132075471698
7	0.06	71.4	0.330188679245283
7	0.07	73.39583333333333	0.22641509433962265
7	0.08	72.12903225806451	0.14622641509433962
7	0.09	70.0909090909091	0.10377358490566038
7	0.1	68.45454545454545	0.10377358490566038
7	0.11	67.46666666666667	0.07075471698113207
7	0.12	69.53333333333333	0.07075471698113207
7	0.13	67.1	0.04716981132075472
7	0.14	74.35714285714286	0.0660377358490566
7	0.15	71.83333333333333	0.05660377358490566
8	0	39.33918128654971	0.8066037735849056
8	0.01	41.02958579881657	0.7971698113207547
8	0.02	48.31764705882353	0.8018867924528302
8	0.03	58.14556962025316	0.7452830188679245
8	0.04	64.83941605839416	0.6462264150943396
8	0.05	65.86813186813187	0.42924528301886794
8	0.06	70.53424657534246	0.3443396226415094
8	0.07	72.3265306122449	0.23113207547169812
8	0.08	69.27027027027027	0.17452830188679244
8	0.09	73.60714285714286	0.1320754716981132
8	0.1	68.30434782608695	0.10849056603773585
8	0.11	67.70588235294117	0.08018867924528301
8	0.12	66.0	0.06132075471698113
8	0.13	62.44444444444444	0.04245283018867924
8	0.14	69.23076923076923	0.06132075471698113
8	0.15	65.91666666666667	0.05660377358490566
9	0	39.33918128654971	0.8066037735849056
9	0.01	41.166666666666664	0.7924528301886793
9	0.02	47.44767441860465	0.8113207547169812
9	0.03	59.1219512195122	0.7735849056603774
9	0.04	64.07462686567165	0.6320754716981132
9	0.05	66.95604395604396	0.42924528301886794
9	0.06	71.18055555555556	0.33962264150943394
9	0.07	67.85365853658537	0.19339622641509435
9	0.08	70.34375	0.1509433962264151
9	0.09	74.16666666666667	0.14150943396226415
9	0.1	71.82608695652173	0.10849056603773585
9	0.11	73.56521739130434	0.10849056603773585
9	0.12	63.833333333333336	0.05660377358490566
9	0.13	57.72727272727273	0.05188679245283019
9	0.14	64.5	0.04716981132075472
9	0.15	57.55555555555556	0.04245283018867924
10	0	39.33918128654971	0.8066037735849056
10	0.01	41.857988165680474	0.7971698113207547
10	0.02	48.724137931034484	0.8207547169811321
10	0.03	58.3855421686747	0.7830188679245284
10	0.04	63.580882352941174	0.6415094339622641
10	0.05	69.20618556701031	0.45754716981132076
10	0.06	71.54166666666667	0.33962264150943394
10	0.07	72.65306122448979	0.23113207547169812
10	0.08	71.91891891891892	0.17452830188679244
10	0.09	71.5925925925926	0.12735849056603774
10	0.1	73.83333333333333	0.08490566037735849
10	0.11	73.84210526315789	0.08962264150943396
10	0.12	66.76923076923077	0.06132075471698113
10	0.13	67.54545454545455	0.05188679245283019
10	0.14	62.416666666666664	0.05660377358490566
10	0.15	68.81818181818181	0.05188679245283019
11	0	39.33918128654971	0.8066037735849056
11	0.01	40.76646706586826	0.7877358490566038
11	0.02	49.26744186046512	0.8113207547169812
11	0.03	58.35625	0.7547169811320755
11	0.04	63.41481481481482	0.6367924528301887
11	0.05	66.31111111111112	0.42452830188679247
11	0.06	69.05882352941177	0.32075471698113206
11	0.07	70.3125	0.22641509433962265
11	0.08	70.33333333333333	0.14150943396226415
11	0.09	70.29629629629629	0.12735849056603774
11	0.1	73.82608695652173	0.10849056603773585
11	0.11	74.5	0.07547169811320754
11	0.12	65.75	0.05660377358490566
11	0.13	68.46666666666667	0.07075471698113207
11	0.14	69.72727272727273	0.05188679245283019
11	0.15	68.36363636363636	0.05188679245283019
12	0	39.33918128654971	0.8066037735849056
12	0.01	41.06586826347306	0.7877358490566038
12	0.02	47.29585798816568	0.7971698113207547
12	0.03	58.01840490797546	0.7688679245283019
12	0.04	63.89763779527559	0.5990566037735849
12	0.05	69.85714285714286	0.46226415094339623
12	0.06	69.85714285714286	0.330188679245283
12	0.07	72.14893617021276	0.22169811320754718
12	0.08	65.625	0.1509433962264151
12	0.09	68.70833333333333	0.11320754716981132
12	0.1	71.66666666666667	0.09905660377358491
12	0.11	64.25	0.07547169811320754
12	0.12	65.78571428571429	0.0660377358490566
12	0.13	54.90909090909091	0.05188679245283019
12	0.14	63.30769230769231	0.06132075471698113
12	0.15	63.583333333333336	0.05660377358490566
13	0	39.33918128654971	0.8066037735849056
13	0.01	40.49101796407186	0.7877358490566038
13	0.02	48.14942528735632	0.8207547169811321
13	0.03	57.475	0.7547169811320755
13	0.04	64.04580152671755	0.6179245283018868
13	0.05	67.93617021276596	0.44339622641509435
13	0.06	71.68571428571428	0.330188679245283
13	0.07	70.82608695652173	0.2169811320754717
13	0.08	70.14285714285714	0.1650943396226415
13	0.09	66.17241379310344	0.13679245283018868
13	0.1	71.57142857142857	0.09905660377358491
13	0.11	69.8	0.07075471698113207
13	0.12	66.78571428571429	0.0660377358490566
13	0.13	66.35714285714286	0.0660377358490566
13	0.14	68.16666666666667	0.05660377358490566
13	0.15	65.18181818181819	0.05188679245283019
14	0	39.33918128654971	0.8066037735849056
14	0.01	41.82248520710059	0.7971698113207547
14	0.02	48.6764705882353	0.8018867924528302
14	0.03	56.907407407407405	0.7641509433962265
14	0.04	63.891304347826086	0.6509433962264151
14	0.05	67.02173913043478	0.4339622641509434
14	0.06	71.3108108108108	0.3490566037735849
14	0.07	73.6078431372549	0.24056603773584906
14	0.08	70.3	0.14150943396226415
14	0.09	70.33333333333333	0.11320754716981132
14	0.1	72.2	0.09433962264150944
14	0.11	68.46666666666667	0.07075471698113207
14	0.12	65.6875	0.07547169811320754
14	0.13	71.66666666666667	0.05660377358490566
14	0.14	64.61538461538461	0.06132075471698113
14	0.15	73.61538461538461	0.06132075471698113
15	0	39.33918128654971	0.8066037735849056
15	0.01	41.29761904761905	0.7924528301886793
15	0.02	48.55428571428571	0.8254716981132075
15	0.03	57.62658227848101	0.7452830188679245
15	0.04	63.766917293233085	0.6273584905660378
15	0.05	68.71910112359551	0.419811320754717
15	0.06	69.32352941176471	0.32075471698113206
15	0.07	69.41304347826087	0.2169811320754717
15	0.08	72.24242424242425	0.15566037735849056
15	0.09	66.57894736842105	0.08962264150943396
15	0.1	70.63157894736842	0.08962264150943396
15	0.11	70.25	0.09433962264150944
15	0.12	71.57142857142857	0.0660377358490566
15	0.13	74.8	0.04716981132075472
15	0.14	68.92857142857143	0.0660377358490566
15	0.15	58.76923076923077	0.06132075471698113
