Participant_Index	Noise_LOC	Reaction_Time	Accuracy
0	0	39.74761904761905	0.9905660377358491
0	0.01	40.06341463414634	0.9669811320754716
0	0.02	44.52840909090909	0.8301886792452831
0	0.03	50.876106194690266	0.5330188679245284
0	0.04	58.61224489795919	0.23113207547169812
0	0.05	54.785714285714285	0.0660377358490566
0	0.06	43.5	0.03773584905660377
0	0.07	64.33333333333333	0.014150943396226415
0	0.08	42.666666666666664	0.014150943396226415
0	0.09	15.0	0.009433962264150943
0	0.1	15.5	0.009433962264150943
0	0.11	18.5	0.009433962264150943
0	0.12	55.0	0.009433962264150943
0	0.13	25.0	0.0047169811320754715
0	0.14	41.0	0.014150943396226415
0	0.15	17.5	0.009433962264150943
1	0	39.74761904761905	0.9905660377358491
1	0.01	39.72195121951219	0.9669811320754716
1	0.02	44.54545454545455	0.8301886792452831
1	0.03	51.252252252252255	0.5235849056603774
1	0.04	56.21739130434783	0.2169811320754717
1	0.05	59.4	0.07075471698113207
1	0.06	40.5	0.03773584905660377
1	0.07	39.2	0.02358490566037736
1	0.08	68.66666666666667	0.014150943396226415
1	0.09	38.0	0.014150943396226415
1	0.1	15.0	0.0047169811320754715
1	0.11	41.0	0.014150943396226415
1	0.12	14.5	0.009433962264150943
1	0.13	20.5	0.009433962264150943
1	0.14	15.0	0.0047169811320754715
1	0.15	15.0	0.0047169811320754715
2	0	39.74761904761905	0.9905660377358491
2	0.01	39.917073170731705	0.9669811320754716
2	0.02	44.30337078651685	0.839622641509434
2	0.03	51.45945945945946	0.5235849056603774
2	0.04	55.851063829787236	0.22169811320754718
2	0.05	57.93333333333333	0.07075471698113207
2	0.06	48.5	0.03773584905660377
2	0.07	36.0	0.014150943396226415
2	0.08	51.75	0.018867924528301886
2	0.09	13.0	0.0047169811320754715
2	0.1	33.75	0.018867924528301886
2	0.11	33.0	0.018867924528301886
2	0.12	26.0	0.0047169811320754715
2	0.13	13.0	0.0047169811320754715
2	0.14	16.0	0.0047169811320754715
2	0.15	15.0	0.0047169811320754715
3	0	39.74761904761905	0.9905660377358491
3	0.01	40.082926829268295	0.9669811320754716
3	0.02	43.58100558659218	0.8443396226415094
3	0.03	51.0672268907563	0.5613207547169812
3	0.04	57.244897959183675	0.23113207547169812
3	0.05	47.785714285714285	0.0660377358490566
3	0.06	48.875	0.03773584905660377
3	0.07	45.0	0.018867924528301886
3	0.08	37.333333333333336	0.014150943396226415
3	0.09	64.66666666666667	0.014150943396226415
3	0.1	13.666666666666666	0.014150943396226415
3	0.11	13.0	0.009433962264150943
3	0.12	21.0	0.0047169811320754715
3	0.13	20.0	0.0047169811320754715
3	0.14	13.0	0.0047169811320754715
3	0.15	20.0	0.0047169811320754715
4	0	39.74761904761905	0.9905660377358491
4	0.01	39.64878048780488	0.9669811320754716
4	0.02	44.740112994350284	0.8349056603773585
4	0.03	51.9646017699115	0.5330188679245284
4	0.04	57.0	0.22169811320754718
4	0.05	51.0	0.08018867924528301
4	0.06	50.55555555555556	0.04245283018867924
4	0.07	39.0	0.018867924528301886
4	0.08	56.0	0.009433962264150943
4	0.09	54.5	0.009433962264150943
4	0.1	16.0	0.009433962264150943
4	0.11	20.0	0.0047169811320754715
4	0.12	19.0	0.0047169811320754715
4	0.13	15.0	0.0047169811320754715
4	0.14	15.0	0.009433962264150943
4	0.15	19.0	0.0047169811320754715
5	0	39.74761904761905	0.9905660377358491
5	0.01	39.93170731707317	0.9669811320754716
5	0.02	44.45762711864407	0.8349056603773585
5	0.03	51.92173913043478	0.5424528301886793
5	0.04	53.15384615384615	0.18396226415094338
5	0.05	54.0	0.0660377358490566
5	0.06	52.714285714285715	0.0330188679245283
5	0.07	30.75	0.018867924528301886
5	0.08	53.0	0.009433962264150943
5	0.09	20.0	0.009433962264150943
5	0.1	20.5	0.009433962264150943
5	0.11	23.0	0.0047169811320754715
5	0.12	45.666666666666664	0.014150943396226415
5	0.13	15.0	0.0047169811320754715
5	0.14	17.0	0.0047169811320754715
5	0.15	15.0	0.0047169811320754715
6	0	39.74761904761905	0.9905660377358491
6	0.01	39.96585365853659	0.9669811320754716
6	0.02	44.848314606741575	0.839622641509434
6	0.03	51.834782608695654	0.5424528301886793
6	0.04	57.476190476190474	0.19811320754716982
6	0.05	55.53333333333333	0.07075471698113207
6	0.06	51.125	0.03773584905660377
6	0.07	57.8	0.02358490566037736
6	0.08	19.333333333333332	0.014150943396226415
6	0.09	12.5	0.018867924528301886
6	0.1	14.0	0.0047169811320754715
6	0.11	14.0	0.0047169811320754715
6	0.12	15.0	0.0047169811320754715
6	0.13	42.666666666666664	0.014150943396226415
6	0.14	21.0	0.0047169811320754715
6	0.15	18.0	0.0047169811320754715
7	0	39.74761904761905	0.9905660377358491
7	0.01	39.639024390243904	0.9669811320754716
7	0.02	45.146067415730336	0.839622641509434
