TARGET	COH	NB	RHY1	RHY2	EMBED	xEMBED	COHshort	COHlong	COHeq	DEL	ADD	SUB
stupxd	14	1	1	1	3	1	10	2	2	0	0	1
stxdi	14	2	1	1	2	2	5	4	5	0	1	1
stxdid	14	2	1	1	4	1	10	2	2	1	0	1
su	3	5	4	1	1	3	0	2	1	0	1	4
sut	3	6	4	48	2	2	1	1	1	1	0	5
sutxbxl	3	1	1	1	4	1	2	0	1	0	0	1
sxbstxtut	4	1	1	1	3	1	3	0	1	0	0	1
sxk	4	5	5	22	2	2	0	3	1	0	0	5
sxksid	4	1	1	1	5	1	2	1	1	0	0	1
sxtxl	4	1	1	3	2	1	1	2	1	0	0	1
tap	3	6	7	21	1	2	0	1	2	0	1	5
tar	3	7	7	8	2	6	0	1	2	1	1	5
targxt	3	1	1	1	4	1	2	0	1	0	0	1
ti	1	8	7	5	1	7	0	0	1	0	1	7
trat	11	2	1	9	1	1	2	5	4	0	0	2
tri	11	4	3	28	1	5	0	9	2	1	1	2
trit	11	6	3	8	3	3	2	5	4	1	2	3
triti	11	2	1	1	5	1	6	2	3	1	0	1
tru	11	7	5	11	1	3	0	9	2	1	1	5
truli	11	1	1	1	3	1	6	2	3	0	0	1
trup	11	3	2	3	2	1	2	5	4	1	0	2
trxbxl	11	1	1	6	3	1	9	0	2	0	0	1
trxk	11	2	2	6	2	2	2	5	4	0	1	1
trxst	11	2	1	3	3	2	6	2	3	0	1	1
trxsti	11	2	1	1	5	1	9	0	2	1	0	1
tu	3	7	4	1	1	5	0	2	1	0	3	4
tub	3	3	1	5	2	1	1	0	2	1	0	2
tul	3	6	5	29	2	1	1	0	2	1	0	5
x	12	3	1	2	1	79	0	11	1	0	2	1
xbrxpt	1	1	1	1	3	1	0	0	1	0	0	1
xdapt	2	1	1	1	2	1	0	0	2	0	0	1
xdxlt	2	1	1	1	3	1	0	0	2	0	0	1
xgli	2	2	1	6	2	1	0	0	2	0	0	2
xgri	2	2	1	4	2	1	0	0	2	0	0	2
xlat	1	3	3	9	3	1	0	0	1	1	0	2
xp	3	4	3	2	2	6	0	2	1	1	1	2
xpart	3	2	2	5	7	1	2	0	1	1	0	1
xpil	3	1	1	5	4	1	1	1	1	0	0	1
xs	2	4	3	4	2	11	0	1	1	1	1	2
xslip	2	2	2	3	5	1	1	0	1	1	0	1
