Cycle	/p/|pl^g	/b/|pl^g	/p/|bl^S	/b/|bl^S	/p/|#l^g	/b/|#l^g	/p/|#l^S	/b/|#l^S
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0
2	0.18	0.0	0.0	0.18	0.0	0.0	0.0	0.0
3	0.246542	0.0	0.0	0.245517	0.0	0.0	0.0	0.0
4	0.30043513	0.0	0.0	0.29912418	0.0	0.0	0.0	0.0
5	0.3445778	0.0	0.0	0.34291783	0.0	0.0	0.0	0.0
6	0.38052908	0.0	0.0	0.3786655	0.0	0.0	0.0	0.0
7	0.40979764	0.0	0.0	0.40783173	0.0	0.0	0.0	0.0
8	0.43359742	0.0	0.0	0.4316041	0.0	0.0	0.0	0.0
9	0.45293203	0.0	0.0	0.4509613	0.0	0.0	0.0	0.0
10	0.4686313	0.0	0.0	0.46670935	0.1	0.1	0.1	0.1
11	0.48137417	0.0	0.0	0.47951308	0.18	0.18	0.18	0.18
12	0.4917161	0.0	0.0	0.4899173	0.24595979	0.2443198	0.24595979	0.2443198
13	0.5006208	0.0	0.0	0.49880815	0.29940346	0.29665256	0.29940346	0.29665256
14	0.50848967	0.0	0.0	0.5065682	0.27280867	0.26885313	0.27280867	0.26885313
15	0.5153824	0.0	0.0	0.51328903	0.24983932	0.24455862	0.24983932	0.24455862
16	0.5214224	0.0	0.0	0.51908314	0.22968936	0.22305171	0.22968936	0.22305171
17	0.5267317	0.0	0.0	0.5240738	0.21197787	0.2039796	0.21197787	0.2039796
18	0.5314078	0.0	0.0	0.5283794	0.1963832	0.18703438	0.1963832	0.18703438
19	0.53553087	0.0	0.0	0.53211606	0.18264312	0.17194095	0.18264312	0.17194095
20	0.5391622	0.0	0.0	0.53537333	0.17054221	0.1584653	0.17054221	0.1584653
21	0.54235256	0.0	0.0	0.5382243	0.15988939	0.14641146	0.15988939	0.14641146
22	0.5451531	0.0	0.0	0.5407276	0.15050948	0.13560717	0.15050948	0.13560717
23	0.5480337	0.0	0.0	0.5432853	0.14263035	0.12625042	0.14263035	0.12625042
24	0.55106497	0.0	0.0	0.54608613	0.13618954	0.11825287	0.13618954	0.11825287
25	0.5541534	0.0	0.0	0.5490666	0.13095388	0.11146085	0.13095388	0.11146085
26	0.5571981	0.0	0.0	0.55210257	0.12667607	0.10571325	0.12667607	0.10571325
27	0.56010926	0.0	0.0	0.55509657	0.122980244	0.10076636	0.122980244	0.10076636
28	0.56283015	0.0	0.0	0.5579824	0.119672254	0.09650001	0.119672254	0.09650001
29	0.5653338	0.0	0.0	0.5607115	0.116635405	0.09281253	0.116635405	0.09281253
30	0.5676136	0.0	0.0	0.563251	0.11381429	0.089612976	0.11381429	0.089612976
31	0.56966865	0.0	0.0	0.565594	0.11117357	0.08682186	0.11117357	0.08682186
32	0.57150495	0.0	0.0	0.5677391	0.108666725	0.08440045	0.108666725	0.08440045
33	0.5732149	0.0	0.0	0.569831	0.1063649	0.082148515	0.106084324	0.082611874
34	0.5748176	0.0	0.0	0.571922	0.10422303	0.07985173	0.103259824	0.08155374
35	0.57628655	0.0	0.0	0.5740082	0.10216229	0.07730605	0.10010842	0.08120724
36	0.57757914	0.0	0.0	0.5760553	0.100148335	0.07438333	0.096591964	0.08152685
37	0.5786707	0.0	0.0	0.5780272	0.09817923	0.07103397	0.09272441	0.08244383
38	0.579567	0.0	0.0	0.5798969	0.09626724	0.06725446	0.08853963	0.08388747
39	0.5802894	0.0	0.0	0.58164746	0.09442995	0.063070804	0.08408212	0.08579281
40	0.5808556	0.0	0.0	0.5832751	0.09268043	0.058521308	0.079395756	0.088108785
41	0.58128524	0.0	0.0	0.5847782	0.09102648	0.05364944	0.07451563	0.090779975
42	0.5815977	0.0	0.0	0.5861581	0.08947459	0.04850365	0.069475	0.09375252
43	0.5818107	0.0	0.0	0.5874193	0.088029265	0.043626804	0.06430625	0.09697652
44	0.5819411	0.0	0.0	0.5885684	0.08669272	0.039207973	0.059037976	0.10040392
45	0.582006	0.0	0.0	0.58961153	0.0854642	0.03520922	0.053697493	0.103991725
46	0.58201927	0.0	0.0	0.59055436	0.08433279	0.03159481	0.04832678	0.107702225
47	0.581991	0.0	0.0	0.59140337	0.083294265	0.02833104	0.04346477	0.11150265
48	0.581929	0.0	0.0	0.5921656	0.08234751	0.025386706	0.039067518	0.11536468
49	0.58183813	0.0	0.0	0.5928493	0.0814905	0.022733044	0.03509444	0.119261995
50	0.58172286	0.0	0.0	0.59346354	0.08072039	0.02034357	0.031507984	0.12317111
51	0.5815873	0.0	0.0	0.59401584	0.08003361	0.018193925	0.02827335	0.12707475
52	0.5814352	0.0	0.0	0.59451234	0.07942602	0.016261728	0.025358282	0.13096252
53	0.5812698	0.0	0.0	0.5949584	0.07889307	0.014526451	0.022733001	0.13481951
54	0.5810942	0.0	0.0	0.5953591	0.07842992	0.012969292	0.020370265	0.13863204
55	0.5809109	0.0	0.0	0.595719	0.07803154	0.011573057	0.01824518	0.14238788
56	0.58072233	0.0	0.0	0.5960424	0.07769287	0.010322048	0.01633499	0.14607489
57	0.5805304	0.0	0.0	0.596333	0.077408865	0.00920196	0.014618954	0.14968249
58	0.5803368	0.0	0.0	0.59659445	0.0771746	0.00819977	0.013078194	0.15320182
59	0.58014303	0.0	0.0	0.5968297	0.076985285	0.007303647	0.011695532	0.15662464
60	0.57995033	0.0	0.0	0.5970417	0.07683634	0.0065028574	0.010455365	0.15994412
61	0.5797597	0.0	0.0	0.59723294	0.076723434	0.0057876743	0.009343544	0.16315493
62	0.57957196	0.0	0.0	0.5974057	0.076642476	0.0051492983	0.008347249	0.16625327
63	0.57938784	0.0	0.0	0.59756184	0.07658966	0.004579778	0.007454875	0.16923647
64	0.5792079	0.0	0.0	0.59770334	0.07656143	0.004071938	0.006655924	0.17210302
65	0.57903254	0.0	0.0	0.5978318	0.07655451	0.0036193093	0.0059409104	0.17485234
66	0.5788621	0.0	0.0	0.59794855	0.0765659	0.0032160678	0.005301268	0.17748468
67	0.57869697	0.0	0.0	0.59805495	0.076592855	0.0028569747	0.004729267	0.18000095
68	0.5785379	0.0	0.0	0.598152	0.07663177	0.0025373283	0.00421794	0.18240267
69	0.5783853	0.0	0.0	0.5982407	0.076679446	0.002252906	0.0037610084	0.18469186
70	0.5782394	0.0	0.0	0.5983219	0.07673322	0.0019999177	0.0033528209	0.18687093
71	0.57810014	0.0	0.0	0.5983965	0.076790854	0.001774965	0.0029882924	0.1889426
72	0.5779675	0.0	0.0	0.5984651	0.07685049	0.0015750044	0.0026628512	0.19090988
73	0.5778413	0.0	0.0	0.59852827	0.076910585	0.0013973118	0.0023723897	0.19277596
74	0.57772124	0.0	0.0	0.59858656	0.076969884	0.001239451	0.002113219	0.19454421
75	0.57760715	0.0	0.0	0.59864044	0.07702733	0.0010992448	0.0018820285	0.19621807
76	0.57749873	0.0	0.0	0.5986904	0.077082075	0.0009747491	0.0016758491	0.19780102
77	0.5773957	0.0	0.0	0.5987367	0.07713342	0.0008642284	0.0014920183	0.19929665
78	0.5772977	0.0	0.0	0.5987797	0.07718082	0.000766135	0.001328151	0.20070848
79	0.57720447	0.0	0.0	0.59881973	0.077223845	0.0006790888	0.0011821102	0.20204006
80	0.5771158	0.0	0.0	0.59885705	0.07726219	0.00060186017	0.0010519833	0.20329489
81	0.57703125	0.0	0.0	0.59889185	0.077295616	0.0005333539	0.00093605876	0.20447636
82	0.5769507	0.0	0.0	0.5989244	0.07732397	0.00047259487	0.0008328056	0.2055878
83	0.57687396	0.0	0.0	0.59895486	0.07734715	0.00041871532	0.000740855	0.20663247
84	0.57680064	0.0	0.0	0.5989834	0.07736513	0.0003709433	0.0006589834	0.2076135
85	0.5767306	0.0	0.0	0.5990101	0.07737792	0.0003285923	0.0005860977	0.20853397
86	0.5766636	0.0	0.0	0.5990352	0.077385575	0.00029105195	0.0005212214	0.20939688
87	0.5765995	0.0	0.0	0.59905875	0.07738816	0.0002577799	0.00046348243	0.2102051
88	0.57653797	0.0	0.0	0.5990809	0.07738579	0.00022829422	0.0004121026	0.21096142
89	0.576479	0.0	0.0	0.5991018	0.0773786	0.0002021668	0.0003663874	0.21166876
90	0.57642233	0.0	0.0	0.59912133	0.07736674	0.00017901753	0.00032571694	0.2123304
91	0.57636786	0.0	0.0	0.59913975	0.07735037	0.00015850889	0.0002895386	0.21294937
92	0.5763154	0.0	0.0	0.5991571	0.07732966	0.00014034129	0.00025735964	0.21352851
93	0.5762648	0.0	0.0	0.5991734	0.077304795	0.0001242489	0.00022874078	0.21407041
94	0.576216	0.0	0.0	0.59918886	0.077275954	0.000109995795	0.0002032906	0.2145775
95	0.5761688	0.0	0.0	0.5992034	0.07724333	9.737273e-05	0.00018066035	0.21505204
96	0.5761231	0.0	0.0	0.59921706	0.07720712	8.6194086e-05	0.00016053933	0.21549612
97	0.57607895	0.0	0.0	0.59922993	0.07716751	7.6295255e-05	0.00014265081	0.2159117
98	0.5760361	0.0	0.0	0.59924215	0.077124685	6.753028e-05	0.00012674835	0.21630058
99	0.5759945	0.0	0.0	0.59925365	0.077078834	5.976975e-05	0.00011261253	0.21666443
