Cycle	/p/|pl^g	/b/|pl^g	/p/|bl^S	/b/|bl^S	/p/|#l^g	/b/|#l^g	/p/|#l^S	/b/|#l^S
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0
2	0.18	0.0	0.0	0.18	0.0	0.0	0.0	0.0
3	0.2480672	0.0	0.0	0.24642721	0.0	0.0	0.0	0.0
4	0.30356586	0.0	0.0	0.3014735	0.0	0.0	0.0	0.0
5	0.34966284	0.0	0.0	0.3469773	0.0	0.0	0.0	0.0
6	0.38756204	0.0	0.0	0.38453466	0.0	0.0	0.0	0.0
7	0.4187036	0.0	0.0	0.41549847	0.0	0.0	0.0	0.0
8	0.44423947	0.0	0.0	0.4409758	0.0	0.0	0.0	0.0
9	0.46513963	0.0	0.0	0.46189874	0.0	0.0	0.0	0.0
10	0.4822255	0.0	0.0	0.47905165	0.1	0.1	0.1	0.1
11	0.4961782	0.0	0.0	0.49309656	0.18	0.18	0.18	0.18
12	0.50756454	0.0	0.0	0.50458336	0.2473456	0.2448856	0.2473456	0.2448856
13	0.51763934	0.0	0.0	0.5146495	0.30248958	0.29837134	0.30248958	0.29837134
14	0.52682257	0.0	0.0	0.5236962	0.27814543	0.27221793	0.27814543	0.27221793
15	0.5350561	0.0	0.0	0.5317188	0.25797048	0.25003666	0.25797048	0.25003666
16	0.5424191	0.0	0.0	0.5387802	0.24077563	0.2307832	0.24077563	0.2307832
17	0.5490063	0.0	0.0	0.54498124	0.22611809	0.21404435	0.22611809	0.21404435
18	0.5549096	0.0	0.0	0.55042696	0.21362615	0.19946727	0.21362615	0.19946727
19	0.5602021	0.0	0.0	0.5552342	0.20297748	0.18672507	0.20297748	0.18672507
20	0.564939	0.0	0.0	0.55950105	0.19392337	0.1755509	0.19392337	0.1755509
21	0.56916386	0.0	0.0	0.5633	0.18625322	0.16571188	0.18625322	0.16571188
22	0.5729207	0.0	0.0	0.56669486	0.17978409	0.15701567	0.17978409	0.15701567
23	0.57690454	0.0	0.0	0.5703031	0.17506209	0.14996961	0.17506209	0.14996961
24	0.58120096	0.0	0.0	0.57437724	0.17202657	0.14447822	0.17202657	0.14447822
25	0.58563364	0.0	0.0	0.578776	0.17036434	0.14035806	0.17036434	0.14035806
26	0.59003824	0.0	0.0	0.58328706	0.16972157	0.13739648	0.16972157	0.13739648
27	0.5942705	0.0	0.0	0.587746	0.16952078	0.1351829	0.16952078	0.1351829
28	0.5982338	0.0	0.0	0.5920435	0.16949421	0.13357133	0.16949421	0.13357133
29	0.6018856	0.0	0.0	0.59609896	0.16948444	0.13242362	0.16948444	0.13242362
30	0.6052087	0.0	0.0	0.5998599	0.16941565	0.13162586	0.16941565	0.13162586
31	0.6082024	0.0	0.0	0.60331213	0.1692663	0.1310843	0.1692663	0.1310843
32	0.61087626	0.0	0.0	0.6064566	0.16903308	0.13073424	0.16903308	0.13073424
33	0.6133559	0.0	0.0	0.60949564	0.16888411	0.13038705	0.16849728	0.13097745
34	0.6156814	0.0	0.0	0.61249363	0.16880986	0.12981108	0.16749242	0.13198917
35	0.61783385	0.0	0.0	0.6154556	0.16874555	0.12882262	0.16594195	0.13379367
36	0.6197627	0.0	0.0	0.6183404	0.16861372	0.12726873	0.1637913	0.13635294
37	0.6214379	0.0	0.0	0.6211023	0.16837884	0.12509106	0.16103072	0.13961057
38	0.62285084	0.0	0.0	0.6237067	0.1680675	0.122270845	0.15768181	0.14349589
39	0.6240211	0.0	0.0	0.62613297	0.16771092	0.11882815	0.15380089	0.14792009
40	0.62497824	0.0	0.0	0.6283704	0.16733265	0.114796005	0.1494495	0.15279049
41	0.62574565	0.0	0.0	0.630423	0.16695201	0.11021628	0.14468461	0.158024
42	0.62634563	0.0	0.0	0.6322984	0.16658662	0.10513858	0.1395533	0.16355231
43	0.6267991	0.0	0.0	0.6340062	0.16625108	0.09961645	0.1340952	0.1693096
44	0.62713003	0.0	0.0	0.63555616	0.16595681	0.09370429	0.12834738	0.17523786
45	0.62735856	0.0	0.0	0.6369566	0.16570784	0.08745064	0.12234396	0.18128702
46	0.6275019	0.0	0.0	0.6382171	0.16549535	0.08089021	0.11611618	0.18741441
47	0.62757295	0.0	0.0	0.6393479	0.16531116	0.07405691	0.10969239	0.19358417
48	0.62758267	0.0	0.0	0.64035976	0.16514815	0.06698362	0.10309932	0.199766
49	0.62754154	0.0	0.0	0.6412624	0.16500004	0.060243364	0.096370734	0.2059306
50	0.6274578	0.0	0.0	0.64206576	0.16486122	0.054123547	0.08953743	0.21205351
51	0.6273383	0.0	0.0	0.64278066	0.16472615	0.048575	0.0826236	0.21811129
52	0.6271889	0.0	0.0	0.643419	0.16460651	0.043551005	0.07564584	0.2240796
53	0.62701476	0.0	0.0	0.64399004	0.16451071	0.03900794	0.06861988	0.22993799
54	0.6268202	0.0	0.0	0.64450157	0.16444424	0.03490511	0.061743345	0.23566967
55	0.6266092	0.0	0.0	0.6449603	0.16441041	0.031204605	0.05550829	0.24126117
56	0.6263851	0.0	0.0	0.645372	0.16441086	0.027871162	0.049861353	0.24670184
57	0.62615085	0.0	0.0	0.6457418	0.16444586	0.024872044	0.044752833	0.25198314
58	0.6259091	0.0	0.0	0.64607435	0.16451466	0.02217693	0.040136497	0.2570984
59	0.6256621	0.0	0.0	0.6463736	0.16461578	0.019757798	0.03596937	0.2620418
60	0.62541175	0.0	0.0	0.6466431	0.16474716	0.017588804	0.0322115	0.26680684
61	0.62515986	0.0	0.0	0.6468861	0.16490638	0.01564617	0.028825887	0.27139434
62	0.6249079	0.0	0.0	0.64710534	0.16509081	0.013908077	0.025778446	0.27580553
63	0.6246571	0.0	0.0	0.64730346	0.16529767	0.012354529	0.023037836	0.28004354
64	0.62440854	0.0	0.0	0.6474827	0.16552418	0.010967257	0.0205753	0.2841113
65	0.6241631	0.0	0.0	0.647645	0.16576762	0.009729596	0.018364498	0.2880116
66	0.6239216	0.0	0.0	0.6477923	0.16602531	0.008626375	0.01638133	0.2917477
67	0.62368524	0.0	0.0	0.6479261	0.16629472	0.0076438156	0.014603782	0.29532272
68	0.62345535	0.0	0.0	0.6480478	0.16657348	0.0067694183	0.013011768	0.29874018
69	0.6232325	0.0	0.0	0.6481587	0.16685937	0.0059918705	0.011586997	0.3020039
70	0.6230172	0.0	0.0	0.64826	0.16715036	0.0053009493	0.010312823	0.3051178
71	0.6228095	0.0	0.0	0.64835256	0.16744463	0.004687431	0.009174129	0.30808604
72	0.6226096	0.0	0.0	0.6484374	0.16774027	0.004143007	0.008157197	0.31091306
73	0.6224174	0.0	0.0	0.64851516	0.16803452	0.0036602148	0.0072496003	0.31360334
74	0.6222327	0.0	0.0	0.64858663	0.16832517	0.003232343	0.006440091	0.31616148
75	0.62205535	0.0	0.0	0.6486525	0.16861048	0.0028533658	0.0057185045	0.3185922
76	0.62188506	0.0	0.0	0.64871323	0.16888905	0.0025178818	0.0050756647	0.3209002
77	0.6217217	0.0	0.0	0.6487694	0.16915981	0.0022210549	0.0045032976	0.32309026
78	0.6215649	0.0	0.0	0.6488213	0.16942194	0.0019585604	0.003993951	0.32516715
79	0.6214144	0.0	0.0	0.64886945	0.16967484	0.001726536	0.0035409178	0.32713553
80	0.62127	0.0	0.0	0.64891416	0.16991809	0.0015215356	0.0031381713	0.32900006
81	0.6211314	0.0	0.0	0.6489557	0.17015141	0.0013404877	0.0027802985	0.33076534
82	0.6209983	0.0	0.0	0.64899445	0.1703746	0.0011806575	0.002462444	0.3324358
83	0.6208705	0.0	0.0	0.6490306	0.17058764	0.0010396115	0.0021802548	0.3340158
84	0.6207477	0.0	0.0	0.64906436	0.17079054	0.00091518677	0.0019298333	0.33550963
85	0.6206296	0.0	0.0	0.6490959	0.17098342	0.0008054619	0.0017076918	0.33692136
86	0.62051606	0.0	0.0	0.64912546	0.17116642	0.0007087315	0.0015107117	0.338255
87	0.62040687	0.0	0.0	0.6491531	0.17133975	0.0006234827	0.0013361066	0.3395144
88	0.6203017	0.0	0.0	0.6491791	0.17150365	0.0005483747	0.0011813887	0.34070328
89	0.6202004	0.0	0.0	0.64920354	0.17165838	0.0004822195	0.0010443389	0.3418252
90	0.62010276	0.0	0.0	0.6492265	0.17180428	0.00042396534	0.0009229781	0.3428836
91	0.6200086	0.0	0.0	0.649248	0.17194162	0.00037268145	0.0008155431	0.34388173
92	0.6199177	0.0	0.0	0.64926827	0.17207074	0.00032754464	0.00072046375	0.34482273
93	0.6198299	0.0	0.0	0.6492874	0.17219198	0.00028782713	0.0006363425	0.3457097
94	0.61974514	0.0	0.0	0.64930546	0.17230564	0.00025288586	0.0005619363	0.34654537
95	0.6196632	0.0	0.0	0.6493225	0.1724121	0.00022215286	0.0004961399	0.34733254
96	0.61958385	0.0	0.0	0.6493386	0.1725117	0.00019512662	0.00043797126	0.34807384
97	0.6195071	0.0	0.0	0.64935374	0.17260475	0.00017136455	0.00038655804	0.34877172
98	0.6194326	0.0	0.0	0.64936805	0.17269161	0.00015047619	0.0003411258	0.34942853
99	0.61936045	0.0	0.0	0.6493816	0.17277259	0.00013211716	0.00030098733	0.35004655
