Cycle	/p/|pl^g	/b/|pl^g	/p/|bl^S	/b/|bl^S	/p/|#l^g	/b/|#l^g	/p/|#l^S	/b/|#l^S
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0
2	0.18	0.0	0.0	0.18	0.0	0.0	0.0	0.0
3	0.24501681	0.0	0.0	0.24460681	0.0	0.0	0.0	0.0
4	0.29729664	0.0	0.0	0.296771	0.0	0.0	0.0	0.0
5	0.339521	0.0	0.0	0.33886284	0.0	0.0	0.0	0.0
6	0.3735553	0.0	0.0	0.37281936	0.0	0.0	0.0	0.0
7	0.400984	0.0	0.0	0.40021044	0.0	0.0	0.0	0.0
8	0.42308068	0.0	0.0	0.4222987	0.0	0.0	0.0	0.0
9	0.44087765	0.0	0.0	0.4401057	0.0	0.0	0.0	0.0
10	0.45520967	0.0	0.0	0.45445776	0.1	0.1	0.1	0.1
11	0.466751	0.0	0.0	0.4660231	0.18	0.18	0.18	0.18
12	0.47604582	0.0	0.0	0.47534153	0.2429996	0.2409496	0.2429996	0.2409496
13	0.48371264	0.0	0.0	0.4830057	0.29200557	0.28854525	0.29200557	0.28854525
14	0.4901219	0.0	0.0	0.48935777	0.2614651	0.257607	0.2614651	0.257607
15	0.49546653	0.0	0.0	0.49457103	0.23382345	0.22961909	0.23382345	0.22961909
16	0.49993265	0.0	0.0	0.4988132	0.20895019	0.20448792	0.20895019	0.20448792
17	0.5036786	0.0	0.0	0.50225496	0.18659553	0.1819623	0.18659553	0.1819623
18	0.5068403	0.0	0.0	0.50505155	0.16652721	0.16179839	0.16652721	0.16179839
19	0.5095208	0.0	0.0	0.5073388	0.14853318	0.14376777	0.14853318	0.14376777
20	0.5118014	0.0	0.0	0.509223	0.13241622	0.12766369	0.13241622	0.12766369
21	0.51374394	0.0	0.0	0.5107842	0.11799536	0.113297105	0.11799536	0.113297105
22	0.515402	0.0	0.0	0.5120869	0.10510455	0.100495	0.10510455	0.100495
23	0.51696515	0.0	0.0	0.5133072	0.093535446	0.08903713	0.093535446	0.08903713
24	0.51843864	0.0	0.0	0.51445615	0.083140366	0.078776166	0.083140366	0.078776166
25	0.5197746	0.0	0.0	0.5155182	0.07381162	0.06960085	0.07381162	0.06960085
26	0.5209626	0.0	0.0	0.5164848	0.065453626	0.061416436	0.065453626	0.061416436
27	0.5220075	0.0	0.0	0.5173646	0.05799314	0.054152697	0.05799314	0.054152697
28	0.5229236	0.0	0.0	0.5181763	0.05134519	0.047723815	0.05134519	0.047723815
29	0.5237278	0.0	0.0	0.5189362	0.045429997	0.042043224	0.045429997	0.042043224
30	0.52443653	0.0	0.0	0.5196568	0.040173836	0.037028857	0.040173836	0.037028857
31	0.52506626	0.0	0.0	0.5203519	0.035506614	0.032606162	0.035506614	0.032606162
32	0.5256338	0.0	0.0	0.5210285	0.031364277	0.028707568	0.031364277	0.028707568
33	0.52617574	0.0	0.0	0.52172935	0.02768616	0.025262116	0.027678385	0.025275148
34	0.5267108	0.0	0.0	0.5224726	0.024419101	0.022210192	0.02439466	0.02225401
35	0.527218	0.0	0.0	0.52326286	0.021517068	0.019502979	0.02146944	0.019595383
36	0.5276706	0.0	0.0	0.5240901	0.018940032	0.017100142	0.018865636	0.017255519
37	0.52803624	0.0	0.0	0.52494216	0.016654197	0.014969307	0.016551211	0.015196124
38	0.52829385	0.0	0.0	0.52580374	0.0146299545	0.013082861	0.014498202	0.013384105
39	0.5284399	0.0	0.0	0.52665997	0.012840556	0.011416264	0.012681262	0.011790371
40	0.52847576	0.0	0.0	0.5274966	0.011261506	0.009947201	0.011076917	0.010389143
41	0.5284128	0.0	0.0	0.52830344	0.009870303	0.008655168	0.009663197	0.009157391
42	0.52826774	0.0	0.0	0.52907574	0.008646326	0.0075212903	0.008419872	0.0080745965
43	0.5280553	0.0	0.0	0.52981037	0.0075707813	0.0065282327	0.007328428	0.007122649
44	0.52779007	0.0	0.0	0.53050566	0.0066266335	0.005660146	0.0063719717	0.0062855864
45	0.52748424	0.0	0.0	0.5311613	0.0057985126	0.004902602	0.0055351555	0.00554936
46	0.5271461	0.0	0.0	0.531778	0.0050725834	0.004242453	0.004804098	0.0049016196
47	0.5267837	0.0	0.0	0.5323571	0.004436518	0.0036678119	0.004166301	0.004331521
48	0.526404	0.0	0.0	0.5328988	0.003879396	0.0031681317	0.0036105476	0.0038295414
49	0.5260129	0.0	0.0	0.53340375	0.0033915956	0.0027340981	0.00312683	0.0033873373
50	0.5256153	0.0	0.0	0.5338733	0.0029646382	0.0023574897	0.0027062162	0.0029976135
51	0.52521515	0.0	0.0	0.53430945	0.0025910556	0.0020310534	0.0023407831	0.0026539885
52	0.5248157	0.0	0.0	0.53471506	0.002264272	0.0017483984	0.0020235507	0.0023508738
53	0.5244199	0.0	0.0	0.53509265	0.0019785003	0.0015039004	0.0017483769	0.0020833719
54	0.52403015	0.0	0.0	0.53544456	0.0017286527	0.001292616	0.0015098631	0.0018471902
55	0.5236482	0.0	0.0	0.5357727	0.0015102583	0.001110207	0.0013032715	0.0016385644
56	0.52327543	0.0	0.0	0.5360789	0.0013193915	0.0009528718	0.0011244392	0.0014541803
57	0.52291274	0.0	0.0	0.53636473	0.0011526078	0.00081728376	0.0009697213	0.0012911264
58	0.52256083	0.0	0.0	0.5366317	0.001006887	0.0007005364	0.00083593663	0.0011468513
59	0.5222201	0.0	0.0	0.53688115	0.0008795821	0.0006000939	0.000720312	0.00101912
60	0.52189076	0.0	0.0	0.5371143	0.000768375	0.00051374704	0.00062043255	0.00090597366
61	0.5215729	0.0	0.0	0.5373323	0.00067123625	0.00043957357	0.0005341946	0.0008056952
62	0.52126646	0.0	0.0	0.53753614	0.0005863901	0.00037590327	0.00045976936	0.00071677717
63	0.5209713	0.0	0.0	0.5377268	0.0005122831	0.00032128664	0.000395568	0.000637895
64	0.5206872	0.0	0.0	0.5379052	0.0004475571	0.00027446734	0.00034021065	0.000567884
65	0.5204139	0.0	0.0	0.5380721	0.0003910248	0.00023435766	0.00029249975	0.0005057193
66	0.520151	0.0	0.0	0.53822833	0.0003416486	0.00020001696	0.0002513964	0.00045049816
67	0.51989836	0.0	0.0	0.5383746	0.00029852195	0.00017063259	0.00021600006	0.00040142523
68	0.5196556	0.0	0.0	0.5385115	0.00026085274	0.00014550322	0.00018553037	0.0003577989
69	0.5194223	0.0	0.0	0.5386398	0.00022794923	0.00012402418	0.00015931165	0.00031900013
70	0.5191982	0.0	0.0	0.5387599	0.00019920728	0.00010567463	0.00013675913	0.00028448232
71	0.5189829	0.0	0.0	0.53887236	0.00017409942	9.000627e-05	0.0001173671	0.00025376244
72	0.51877606	0.0	0.0	0.53897774	0.00015216506	7.66336e-05	0.00010069834	0.00022641353
73	0.51857734	0.0	0.0	0.5390765	0.00013300203	6.522538e-05	8.637511e-05	0.00020205793
74	0.5183865	0.0	0.0	0.5391691	0.000116259296	5.549721e-05	7.407127e-05	0.00018036137
75	0.51820314	0.0	0.0	0.53925586	0.00010163029	4.720508e-05	6.3505315e-05	0.00016102787
76	0.518027	0.0	0.0	0.53933716	8.88474e-05	4.0139796e-05	5.4434415e-05	0.0001437952
77	0.5178578	0.0	0.0	0.5394134	7.767677e-05	3.4122124e-05	4.66492e-05	0.00012843093
78	0.51769525	0.0	0.0	0.5394849	6.791431e-05	2.8998598e-05	3.996923e-05	0.000114728915
79	0.5175391	0.0	0.0	0.539552	5.9381917e-05	2.4637875e-05	3.4239067e-05	0.000102506296
80	0.517389	0.0	0.0	0.53961486	5.1924082e-05	2.0927619e-05	2.9324872e-05	9.1600756e-05
81	0.5172447	0.0	0.0	0.5396738	4.5405068e-05	1.7771807e-05	2.511145e-05	8.186816e-05
82	0.5171061	0.0	0.0	0.5397291	3.970634e-05	1.5088396e-05	2.1499685e-05	7.318047e-05
83	0.5169731	0.0	0.0	0.539781	3.4724388e-05	1.2807335e-05	1.8404335e-05	6.54239e-05
84	0.5168454	0.0	0.0	0.5398296	3.036881e-05	1.0868832e-05	1.5752112e-05	5.8497288e-05
85	0.5167229	0.0	0.0	0.53987527	2.6560647e-05	9.221879e-06	1.3480028e-05	5.2310665e-05
86	0.51660544	0.0	0.0	0.5399181	2.3230925e-05	7.82298e-06	1.1533966e-05	4.6783993e-05
87	0.51649266	0.0	0.0	0.5399583	2.0319385e-05	6.6350613e-06	9.867448e-06	4.184603e-05
88	0.51638454	0.0	0.0	0.53999597	1.7773385e-05	5.626536e-06	8.4405665e-06	3.743335e-05
89	0.5162808	0.0	0.0	0.5400314	1.554693e-05	4.7705016e-06	7.2190683e-06	3.348947e-05
90	0.5161811	0.0	0.0	0.5400646	1.3599818e-05	4.044054e-06	6.1735605e-06	2.9964061e-05
91	0.51608545	0.0	0.0	0.5400957	1.1896911e-05	3.4277023e-06	5.2788255e-06	2.6812284e-05
92	0.5159936	0.0	0.0	0.5401249	1.0407509e-05	2.904862e-06	4.513235e-06	2.3994164e-05
93	0.5159053	0.0	0.0	0.54015225	9.104788e-06	2.4614285e-06	3.858243e-06	2.147406e-05
94	0.51582056	0.0	0.0	0.54017794	7.965305e-06	2.0854081e-06	3.297949e-06	1.9220184e-05
95	0.51573896	0.0	0.0	0.540202	6.96857e-06	1.7666063e-06	2.8187258e-06	1.7204182e-05
96	0.5156605	0.0	0.0	0.54022455	6.096673e-06	1.4963595e-06	2.4088954e-06	1.540075e-05
97	0.515585	0.0	0.0	0.5402457	5.3339436e-06	1.2673086e-06	2.0584528e-06	1.37873085e-05
98	0.5155122	0.0	0.0	0.54026556	4.666687e-06	1.0732025e-06	1.7588276e-06	1.23436985e-05
99	0.51544213	0.0	0.0	0.54028416	4.082934e-06	9.0873357e-07	1.5026802e-06	1.1051924e-05
