Cycle	/p/|pl^g	/b/|pl^g	/p/|bl^S	/b/|bl^S	/p/|#l^g	/b/|#l^g	/p/|#l^S	/b/|#l^S
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0
2	0.18	0.0	0.0	0.18	0.0	0.0	0.0	0.0
3	0.25060922	0.00065	0.00065	0.2479442	0.0	0.0	0.0	0.0
4	0.30876642	0.0012539348	0.001586264	0.30538025	0.0	0.0	0.0	0.0
5	0.35898256	0.002042901	0.0026567099	0.35403103	0.0	0.0	0.0	0.0
6	0.4010861	0.0028240085	0.0037702124	0.39529505	0.0	0.0	0.0	0.0
7	0.43699455	0.0036565019	0.004883029	0.4303513	0.0	0.0	0.0	0.0
8	0.46737695	0.0045012087	0.005977747	0.46019882	0.0	0.0	0.0	0.0
9	0.49321914	0.005364029	0.0070419097	0.48568463	0.0	0.0	0.0	0.0
10	0.5152172	0.0062337806	0.00806704	0.5075247	0.1	0.1	0.1	0.1
11	0.53402615	0.0071066283	0.009048824	0.52633333	0.18	0.18	0.18	0.18
12	0.5501784	0.007976056	0.009985794	0.54262626	0.2511422	0.2484772	0.2511422	0.2484772
13	0.56595474	0.009609017	0.01149167	0.5582539	0.31163692	0.30720848	0.31163692	0.30720848
14	0.58018386	0.011797357	0.013617427	0.57294774	0.29521817	0.28877765	0.29521817	0.28877765
15	0.59327596	0.014595802	0.016256306	0.58650637	0.28532144	0.27660105	0.28532144	0.27660105
16	0.60512865	0.017885879	0.019270277	0.59887904	0.27966243	0.26850605	0.27966243	0.26850605
17	0.6159065	0.021599693	0.022544773	0.61010987	0.27800804	0.26412478	0.27800804	0.26412478
18	0.62573564	0.025655717	0.025967445	0.6202946	0.27981377	0.26293215	0.27981377	0.26293215
19	0.6347236	0.029986966	0.029437477	0.62955946	0.28459215	0.26443732	0.28459215	0.26443732
20	0.64296436	0.03454216	0.03286407	0.6380063	0.29189286	0.268175	0.29189286	0.268175
21	0.65059924	0.039302044	0.036178462	0.6457267	0.30128366	0.27371725	0.30128366	0.27371725
22	0.65771747	0.044241168	0.039352708	0.65280783	0.3123647	0.2806813	0.3123647	0.2806813
23	0.6654638	0.0500018	0.043134935	0.6604428	0.3268479	0.29061785	0.3268479	0.29061785
24	0.67363226	0.056401286	0.04738406	0.66822153	0.34384602	0.30299422	0.34384602	0.30299422
25	0.6818261	0.063174866	0.051844366	0.6757721	0.36240724	0.31712875	0.36240724	0.31712875
26	0.68974096	0.07012276	0.056320455	0.68287027	0.38173997	0.33232686	0.38173997	0.33232686
27	0.697196	0.0771104	0.060658127	0.68942714	0.40066686	0.34750903	0.40066686	0.34750903
28	0.7040918	0.08404611	0.06475628	0.6953999	0.41885945	0.36232987	0.41885945	0.36232987
29	0.7103977	0.09087025	0.068538666	0.70077634	0.43611282	0.3765618	0.43611282	0.3765618
30	0.7161353	0.09759416	0.071971394	0.70557445	0.45230508	0.39003122	0.45230508	0.39003122
31	0.72132325	0.10422143	0.075044364	0.7098316	0.46738642	0.4026251	0.46738642	0.4026251
32	0.7259952	0.11077293	0.07779593	0.71359515	0.4813562	0.41432095	0.4813562	0.41432095
33	0.73033357	0.11729714	0.08029944	0.71716213	0.49452668	0.42513996	0.49436793	0.42569926
34	0.73437345	0.12380493	0.08258076	0.7205652	0.50700295	0.43503705	0.5063187	0.43685296
35	0.7380855	0.13028255	0.08476964	0.72376984	0.51875365	0.44397083	0.51714385	0.4477451
36	0.7414402	0.13670988	0.0869098	0.72672796	0.5297077	0.45191383	0.52685976	0.45828995
37	0.7444259	0.14307179	0.08900824	0.7294097	0.5398472	0.4588862	0.535558	0.46838778
38	0.7470562	0.14937714	0.09106562	0.7318252	0.54919034	0.46494684	0.54334503	0.47794992
39	0.74936056	0.15565518	0.09307961	0.733983	0.5577795	0.47018105	0.55032516	0.48691106
40	0.7513877	0.1619353	0.095053054	0.73589617	0.56566834	0.47468168	0.5566037	0.49526107
41	0.75317967	0.16824089	0.09699103	0.73758185	0.5729162	0.47854105	0.5622699	0.5030115
42	0.75476766	0.17459022	0.09890722	0.7390575	0.57958	0.4818425	0.5674181	0.51019627
43	0.7561841	0.18099794	0.10082382	0.74034035	0.5857351	0.4846795	0.5721344	0.5168443
44	0.75745285	0.18747476	0.102758236	0.7414524	0.5914515	0.4871506	0.57648563	0.5230141
45	0.758589	0.19402897	0.1047218	0.74241424	0.5967794	0.48932552	0.58051413	0.5287498
46	0.759603	0.20066646	0.10673635	0.743243	0.60175896	0.49125677	0.5842511	0.53408504
47	0.7605053	0.20739023	0.1088266	0.7439554	0.6064314	0.49298388	0.58772165	0.53904784
48	0.7613152	0.2142008	0.111010835	0.74457073	0.61083215	0.4945813	0.5909469	0.543663
49	0.7620458	0.22109425	0.11330361	0.7451019	0.61498034	0.4961084	0.59394515	0.5479534
50	0.7627045	0.22806436	0.11571748	0.74555874	0.618888	0.49761182	0.59673214	0.5519402
51	0.7633016	0.23510401	0.11826347	0.7459562	0.62256384	0.49912196	0.59932804	0.5556435
52	0.7638469	0.24220526	0.1209504	0.7463034	0.62602186	0.5006579	0.6017681	0.55908155
53	0.76434577	0.24935962	0.12378427	0.74660623	0.6292789	0.50222903	0.60407925	0.562269
54	0.764802	0.25655854	0.12677006	0.7468687	0.6323464	0.5038372	0.6062773	0.5652182
55	0.7652174	0.2637931	0.12991244	0.7470958	0.6352446	0.50547975	0.6083715	0.56794137
56	0.7655927	0.27105358	0.13321565	0.74729156	0.6379836	0.50714844	0.6103676	0.5704502
57	0.7659279	0.27833018	0.1366854	0.7474597	0.6405696	0.50883347	0.6122741	0.5727562
58	0.76622367	0.28561366	0.14032513	0.7476034	0.643007	0.510525	0.6141224	0.57489127
59	0.7664902	0.2928968	0.14413762	0.74772465	0.64529955	0.51221365	0.615942	0.5768853
60	0.766731	0.3001688	0.14812562	0.74782467	0.6474509	0.51389074	0.6177478	0.5787556
61	0.7669469	0.30741805	0.15229183	0.7479043	0.6494647	0.5155483	0.61954314	0.58051276
62	0.76713794	0.3146333	0.15663889	0.74796444	0.6513505	0.5171789	0.62132597	0.58216405
63	0.7673038	0.32180437	0.1611693	0.7480055	0.6531221	0.5187746	0.6230921	0.5837152
64	0.7674444	0.32892197	0.16588545	0.74802804	0.65480137	0.520347	0.62483644	0.5851714
65	0.7675656	0.33597818	0.17078954	0.74803245	0.6564094	0.52191514	0.6265538	0.58653736
66	0.7676758	0.34296465	0.17588362	0.74801904	0.65795505	0.5234867	0.62823945	0.58781767
67	0.76778567	0.3498714	0.18116875	0.74799204	0.65944064	0.52506334	0.62988925	0.58901906
68	0.7678986	0.3566855	0.18665189	0.7479552	0.6608727	0.52664346	0.6314993	0.5901474
69	0.76801497	0.3633935	0.19234204	0.74791145	0.6622578	0.5282225	0.6330664	0.59120756
70	0.76813376	0.36998367	0.19824716	0.7478647	0.6635983	0.52979386	0.634588	0.592204
71	0.7682538	0.37644544	0.20437154	0.74781656	0.6648946	0.53135055	0.6360621	0.5931406
72	0.7683739	0.38276964	0.21071741	0.74776864	0.6661464	0.53288585	0.6374873	0.594021
73	0.7684928	0.3889484	0.21728551	0.7477263	0.66735315	0.53439367	0.63886285	0.59484863
74	0.76860934	0.39497465	0.22407901	0.7476919	0.66851336	0.53586775	0.64018846	0.59562635
75	0.7687222	0.40084243	0.23110157	0.74766636	0.6696256	0.53730243	0.6414642	0.5963572
76	0.7688334	0.40654704	0.23835357	0.74764955	0.6706887	0.5386928	0.64269036	0.59704375
77	0.7689481	0.41208464	0.24582937	0.7476405	0.6717021	0.5400346	0.64386785	0.59768844
78	0.7690676	0.41745237	0.25352082	0.7476376	0.67266554	0.5413266	0.6449976	0.5982936
79	0.7691916	0.42264855	0.2614182	0.7476395	0.67357904	0.5425674	0.6460808	0.59886134
80	0.76931906	0.42767304	0.2695125	0.7476446	0.67444324	0.5437565	0.6471188	0.59939367
81	0.76944864	0.43252635	0.27780098	0.7476516	0.67525905	0.5448939	0.64811313	0.5998924
82	0.7695792	0.43720958	0.2862745	0.74765927	0.67602754	0.5459793	0.6490654	0.6003592
83	0.76970947	0.44172454	0.29491818	0.7476663	0.67675	0.54701245	0.6499772	0.60079575
84	0.76983833	0.44607314	0.30371425	0.7476716	0.6774281	0.5479928	0.6508503	0.60120344
85	0.769965	0.45025754	0.3126431	0.74767435	0.6780635	0.54892635	0.6516865	0.6015836
86	0.77008855	0.4542803	0.3216838	0.74767375	0.6786577	0.54982173	0.65248746	0.60193735
87	0.7702084	0.45814437	0.33081442	0.7476692	0.67921203	0.55068505	0.653255	0.6022658
88	0.7703241	0.46185297	0.34001222	0.7476602	0.6797278	0.5515206	0.65399075	0.60256964
89	0.7704352	0.4654097	0.34925336	0.74764633	0.68020636	0.5523312	0.6546962	0.60284966
90	0.7705413	0.4688182	0.3585135	0.747627	0.6806491	0.553119	0.6553731	0.6031063
91	0.7706419	0.47208235	0.3677681	0.74760187	0.6810576	0.5538853	0.6560284	0.60334015
92	0.77073675	0.4752062	0.376993	0.7475703	0.68143326	0.55463105	0.65666723	0.6035511
93	0.7708256	0.47819394	0.38616455	0.74753165	0.6817776	0.5553569	0.6572925	0.60373855
94	0.7709085	0.48104995	0.39526695	0.74748564	0.68209237	0.5560634	0.657906	0.60390204
95	0.7709851	0.48377866	0.4042863	0.7474319	0.68237984	0.55675083	0.6585089	0.604041
96	0.77105564	0.48638445	0.41320625	0.7473701	0.68264294	0.5574195	0.6591037	0.604155
97	0.7711201	0.48887178	0.42200962	0.74730015	0.682884	0.55806935	0.6596926	0.60424376
98	0.7711786	0.49124515	0.43067914	0.7472218	0.68310475	0.5587007	0.6602769	0.60430694
99	0.7712312	0.49350893	0.4391973	0.7471353	0.6833066	0.5593135	0.6608575	0.60434425
