Feedback_Excitation	Feedback_Inhibition	Cycle	/p/|pl^g	/b/|pl^g	/p/|bl^S	/b/|bl^S	/p/|#l^g	/b/|#l^g	/p/|#l^S	/b/|#l^S
0.0	-0.15	50	0.49884292	0.0	0.0	0.49635535	0.0012970471	0.0009653254	0.0011917547	0.0012202888
0.0	-0.15	51	0.4989002	0.0	0.0	0.49653956	0.0011008864	0.0008069595	0.001000905	0.0010496875
0.0	-0.15	52	0.49895516	0.0	0.0	0.49671566	0.00093398377	0.00067374075	0.0008397577	0.00090331124
0.0	-0.15	53	0.49900782	0.0	0.0	0.4968838	0.0007920681	0.00056182174	0.00070386095	0.000777681
0.0	-0.15	54	0.49905816	0.0	0.0	0.49704412	0.0006714738	0.00046792073	0.0005893955	0.00066981977
0.0	-0.15	55	0.4991048	0.0	0.0	0.49719682	0.0005690578	0.0003892413	0.0004930923	0.00057718065
0.0	-0.15	56	0.499144	0.0	0.0	0.4973422	0.0004821273	0.00032340316	0.00041215873	0.0004975849
0.0	-0.15	57	0.49917302	0.0	0.0	0.49748045	0.00040837785	0.00026838298	0.00034420475	0.0004291622
0.0	-0.15	58	0.4991901	0.0	0.0	0.49761188	0.00034583933	0.00022246325	0.0002871969	0.0003703156
0.0	-0.15	59	0.49919415	0.0	0.0	0.49773675	0.00029282924	0.00018418815	0.00023941448	0.00031968148
0.0	-0.15	60	0.4991845	0.0	0.0	0.4978553	0.00024791213	0.0001523256	0.00019940152	0.0002760945
0.0	-0.15	61	0.4991609	0.0	0.0	0.49796784	0.00020986453	0.00012583453	0.00016592635	0.00023855771
0.0	-0.15	62	0.49912333	0.0	0.0	0.49807465	0.00017764472	0.000103836566	0.0001379476	0.00020621765
0.0	-0.15	63	0.49907202	0.0	0.0	0.49817598	0.00015036634	8.55918e-05	0.000114585324	0.00017834315
0.0	-0.15	64	0.4990072	0.0	0.0	0.4982721	0.00012727598	7.047791e-05	9.509662e-05	0.00015430749
0.0	-0.15	65	0.4989293	0.0	0.0	0.49836326	0.000107733686	5.797229e-05	7.8854806e-05	0.00013357322
0.0	-0.15	66	0.4988388	0.0	0.0	0.49844968	9.11962e-05	4.7636717e-05	6.5331784e-05	0.00011567922
0.0	-0.15	67	0.49873617	0.0	0.0	0.49853158	7.720269e-05	3.910429e-05	5.4082986e-05	0.00010022972
0.0	-0.15	68	0.49862194	0.0	0.0	0.49860922	6.536243e-05	3.2068237e-05	4.4734577e-05	8.688489e-05
