Cycle	/p/|pl^g	/b/|pl^g	/p/|bl^S	/b/|bl^S	/p/|#l^g	/b/|#l^g	/p/|#l^S	/b/|#l^S
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0
2	0.18	0.0	0.0	0.18	0.0	0.0	0.0	0.0
3	0.2480672	0.0	0.0	0.24642721	0.0	0.0	0.0	0.0
4	0.30356586	0.0	0.0	0.3014735	0.0	0.0	0.0	0.0
5	0.3496917	0.0	0.0	0.3469883	0.0	0.0	0.0	0.0
6	0.38762057	0.0	0.0	0.3845681	0.0	0.0	0.0	0.0
7	0.41879803	0.0	0.0	0.41556478	0.0	0.0	0.0	0.0
8	0.44437474	0.0	0.0	0.44108337	0.0	0.0	0.0	0.0
9	0.46531758	0.0	0.0	0.462055	0.0	0.0	0.0	0.0
10	0.48244658	0.0	0.0	0.47926116	0.1	0.1	0.1	0.1
11	0.49644256	0.0	0.0	0.49335963	0.18	0.18	0.18	0.18
12	0.5078735	0.0	0.0	0.5048994	0.247608	0.245353	0.247608	0.245353
13	0.5180289	0.0	0.0	0.51504356	0.30320254	0.29943022	0.30320254	0.29943022
14	0.52731144	0.0	0.0	0.52418095	0.27948725	0.2740631	0.27948725	0.2740631
15	0.5356438	0.0	0.0	0.5323026	0.26010382	0.25284538	0.26010382	0.25284538
16	0.5431044	0.0	0.0	0.5394697	0.24377239	0.23463212	0.24377239	0.23463212
17	0.54978955	0.0	0.0	0.5457857	0.23004442	0.21899971	0.23004442	0.21899971
18	0.5557835	0.0	0.0	0.5513519	0.21853882	0.20558831	0.21853882	0.20558831
19	0.56115896	0.0	0.0	0.556287	0.20892076	0.19406033	0.20892076	0.19406033
20	0.56597435	0.0	0.0	0.56068206	0.20091413	0.18412676	0.20091413	0.18412676
21	0.5702745	0.0	0.0	0.564602	0.19428119	0.17554109	0.19428119	0.17554109
22	0.5741014	0.0	0.0	0.5681123	0.18882936	0.16809587	0.18882936	0.16809587
23	0.57815385	0.0	0.0	0.5718448	0.18523651	0.16243115	0.18523651	0.16243115
24	0.58252364	0.0	0.0	0.57604635	0.18343163	0.15844649	0.18343163	0.15844649
25	0.5870288	0.0	0.0	0.5805675	0.18307006	0.15594777	0.18307006	0.15594777
26	0.5914977	0.0	0.0	0.58518445	0.18376264	0.15469393	0.18376264	0.15469393
27	0.5957813	0.0	0.0	0.5897343	0.18488474	0.15419905	0.18488474	0.15419905
28	0.59978646	0.0	0.0	0.5941	0.18614869	0.15426995	0.18614869	0.15426995
29	0.60346675	0.0	0.0	0.5981984	0.18739016	0.15475062	0.18739016	0.15475062
30	0.606807	0.0	0.0	0.6019786	0.18851338	0.15550338	0.18851338	0.15550338
31	0.60980594	0.0	0.0	0.6054315	0.18948424	0.15643118	0.18948424	0.15643118
32	0.6124736	0.0	0.0	0.6085577	0.19030939	0.15745734	0.19030939	0.15745734
33	0.61494327	0.0	0.0	0.6115773	0.19119361	0.15842628	0.19082153	0.15899572
34	0.61725557	0.0	0.0	0.6145625	0.19215305	0.15914553	0.19088686	0.16122693
35	0.6193876	0.0	0.0	0.6175118	0.19313169	0.15945561	0.1904485	0.16417237
36	0.62129617	0.0	0.0	0.6203817	0.19405822	0.15922353	0.18946114	0.16778482
37	0.6229501	0.0	0.0	0.6231249	0.19489357	0.15840526	0.18791682	0.17200045
38	0.6243458	0.0	0.0	0.62570536	0.19564226	0.15699337	0.18583429	0.17673849
39	0.62550586	0.0	0.0	0.62810075	0.1963176	0.15500332	0.18326113	0.18190405
40	0.62645686	0.0	0.0	0.6303042	0.19693218	0.15246762	0.18024187	0.18740024
41	0.62722015	0.0	0.0	0.632319	0.1974986	0.14943033	0.17682695	0.19313505
42	0.6278189	0.0	0.0	0.6341509	0.19802812	0.14594117	0.17306213	0.19903412
43	0.6282772	0.0	0.0	0.6358087	0.19853045	0.14205211	0.16899036	0.20503208
44	0.6286159	0.0	0.0	0.6373036	0.19901374	0.13781494	0.16465162	0.21107307
45	0.6288531	0.0	0.0	0.63864577	0.19947638	0.13327082	0.16008297	0.21711051
46	0.62900466	0.0	0.0	0.6398457	0.19991249	0.12845431	0.15531857	0.2231065
47	0.6290865	0.0	0.0	0.64091456	0.20031752	0.12339857	0.15038975	0.22903085
48	0.62911105	0.0	0.0	0.64186347	0.20068792	0.11813541	0.14532503	0.23486012
49	0.6290878	0.0	0.0	0.6427033	0.20102073	0.112695724	0.1401504	0.24057665
50	0.62902373	0.0	0.0	0.6434451	0.20131357	0.10710908	0.1348837	0.24616273
51	0.62892497	0.0	0.0	0.6441022	0.20156449	0.10140338	0.12953931	0.2516033
52	0.628797	0.0	0.0	0.64468586	0.20178017	0.095601276	0.124134846	0.2568856
53	0.6286446	0.0	0.0	0.6452046	0.20197362	0.08972028	0.11868931	0.2619993
54	0.6284721	0.0	0.0	0.64566594	0.20215517	0.083776206	0.113219276	0.2669373
55	0.6282834	0.0	0.0	0.64607644	0.20233302	0.07778333	0.1077392	0.27169517
56	0.6280818	0.0	0.0	0.6464419	0.2025135	0.07175453	0.10226168	0.27627096
57	0.6278703	0.0	0.0	0.64676744	0.20270145	0.06570148	0.09679766	0.28066474
58	0.6276516	0.0	0.0	0.64705765	0.20290048	0.059634637	0.091356054	0.28487757
59	0.6274279	0.0	0.0	0.6473166	0.20311324	0.05366434	0.08594482	0.28891116
60	0.6272012	0.0	0.0	0.6475478	0.20334153	0.048257597	0.08057168	0.2927683
61	0.6269733	0.0	0.0	0.6477545	0.20358641	0.04336568	0.075244054	0.29645258
62	0.6267456	0.0	0.0	0.6479395	0.20384784	0.038943578	0.06996712	0.299972
63	0.6265193	0.0	0.0	0.6481053	0.20412497	0.034949742	0.06474518	0.30333507
64	0.62629557	0.0	0.0	0.64825416	0.2044164	0.031345855	0.059582256	0.3065494
65	0.62607515	0.0	0.0	0.6483881	0.2047204	0.028096624	0.054482117	0.30962196
66	0.62585986	0.0	0.0	0.64850867	0.20503497	0.025169574	0.04944822	0.3125591
67	0.6256508	0.0	0.0	0.64861757	0.20535812	0.022534871	0.0445023	0.3153658
68	0.6254488	0.0	0.0	0.6487161	0.20568894	0.020165147	0.04003118	0.3180466
69	0.6252543	0.0	0.0	0.6488054	0.20602627	0.018035332	0.035991848	0.32060713
70	0.62506735	0.0	0.0	0.6488865	0.20636876	0.016122503	0.03234489	0.32305267
71	0.6248881	0.0	0.0	0.6489604	0.20671506	0.014405732	0.029054211	0.3253879
72	0.6247164	0.0	0.0	0.6490279	0.20706344	0.012865954	0.026086794	0.32761702
73	0.6245522	0.0	0.0	0.64908963	0.20741162	0.011485831	0.023412453	0.329744
74	0.62439513	0.0	0.0	0.6491462	0.20775762	0.01024958	0.021003617	0.3317726
75	0.62424505	0.0	0.0	0.6491983	0.20809972	0.009142855	0.018835131	0.3337063
76	0.62410164	0.0	0.0	0.6492463	0.20843644	0.0081526395	0.01688406	0.33554846
77	0.62396467	0.0	0.0	0.64929056	0.20876655	0.0072671357	0.015129521	0.3373024
78	0.6238338	0.0	0.0	0.64933157	0.20908897	0.0064756675	0.013552506	0.3389713
79	0.6237087	0.0	0.0	0.6493696	0.20940284	0.005768585	0.012135741	0.3405583
80	0.6235893	0.0	0.0	0.649405	0.20970748	0.005137175	0.010863535	0.3420664
81	0.6234751	0.0	0.0	0.649438	0.2100023	0.0045735785	0.009721652	0.34349865
82	0.6233658	0.0	0.0	0.64946884	0.21028684	0.0040707164	0.008697181	0.344858
83	0.6232612	0.0	0.0	0.6494976	0.21056083	0.0036222155	0.0077784313	0.34614727
84	0.6231612	0.0	0.0	0.64952457	0.21082401	0.0032223442	0.00695482	0.34736937
85	0.62306535	0.0	0.0	0.64954984	0.21107626	0.0028659524	0.006216776	0.3485271
86	0.62297356	0.0	0.0	0.64957356	0.21131754	0.0025484164	0.0055556516	0.34962308
87	0.62288547	0.0	0.0	0.6495959	0.2115479	0.0022655872	0.0049636373	0.35066003
88	0.6228009	0.0	0.0	0.64961696	0.21176738	0.0020137453	0.0044336854	0.35164055
89	0.62271965	0.0	0.0	0.64963675	0.21197613	0.0017895584	0.0039594416	0.35256714
90	0.6226416	0.0	0.0	0.64965546	0.21217436	0.0015900425	0.00353518	0.35344225
91	0.6225665	0.0	0.0	0.64967316	0.21236227	0.0014125272	0.0031557435	0.35426825
92	0.6224942	0.0	0.0	0.6496899	0.21254015	0.001254624	0.002816491	0.35504746
93	0.6224246	0.0	0.0	0.6497057	0.21270822	0.0011141981	0.0025132482	0.3557821
94	0.6223575	0.0	0.0	0.64972067	0.2128668	0.0009893421	0.0022422615	0.35647434
95	0.62229264	0.0	0.0	0.64973485	0.2130162	0.00087835226	0.0020001591	0.35712624
96	0.62223005	0.0	0.0	0.6497483	0.21315673	0.0007797079	0.0017839122	0.3577398
97	0.6221695	0.0	0.0	0.649761	0.21328875	0.0006920521	0.0015908023	0.35831693
98	0.62211096	0.0	0.0	0.6497731	0.21341258	0.0006141745	0.0014183905	0.35885954
99	0.6220542	0.0	0.0	0.6497845	0.21352857	0.00054499606	0.0012644895	0.35936934
