Cycle	/p/|pl^g	/b/|pl^g	/p/|bl^S	/b/|bl^S	/p/|#l^g	/b/|#l^g	/p/|#l^S	/b/|#l^S
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0
2	0.18	0.0	0.0	0.18	0.0	0.0	0.0	0.0
3	0.2501008	0.0	0.0	0.2476408	0.0	0.0	0.0	0.0
4	0.30772805	0.0	0.0	0.30459976	0.0	0.0	0.0	0.0
5	0.35637927	0.0	0.0	0.3523504	0.0	0.0	0.0	0.0
6	0.39682806	0.0	0.0	0.39226726	0.0	0.0	0.0	0.0
7	0.43041	0.0	0.0	0.42556357	0.0	0.0	0.0	0.0
8	0.45819268	0.0	0.0	0.45324576	0.0	0.0	0.0	0.0
9	0.4810989	0.0	0.0	0.47618654	0.0	0.0	0.0	0.0
10	0.49994516	0.0	0.0	0.49514204	0.1	0.1	0.1	0.1
11	0.51542044	0.0	0.0	0.5107703	0.18	0.18	0.18	0.18
12	0.52811146	0.0	0.0	0.52362925	0.24718161	0.24205661	0.24718161	0.24205661
13	0.53938687	0.0	0.0	0.5349786	0.30113208	0.2925271	0.30113208	0.2925271
14	0.5496859	0.0	0.0	0.5452685	0.27513424	0.26300466	0.27513424	0.26300466
15	0.5590069	0.0	0.0	0.5544451	0.25290108	0.23655605	0.25290108	0.23655605
16	0.5673399	0.0	0.0	0.56253904	0.23339893	0.21273333	0.23339893	0.21273333
17	0.574795	0.0	0.0	0.5696342	0.2162144	0.19123872	0.2162144	0.19123872
18	0.5814674	0.0	0.0	0.5758523	0.20099506	0.17182605	0.20099506	0.17182605
19	0.58746773	0.0	0.0	0.58130383	0.18747994	0.15428631	0.18747994	0.15428631
20	0.5928807	0.0	0.0	0.58609295	0.17549533	0.13843575	0.17549533	0.13843575
21	0.5977713	0.0	0.0	0.59031564	0.16488642	0.12411731	0.16488642	0.12411731
22	0.6021864	0.0	0.0	0.5940634	0.1555089	0.11119003	0.1555089	0.11119003
23	0.60690975	0.0	0.0	0.598105	0.14756574	0.0995366	0.14756574	0.0995366
24	0.612039	0.0	0.0	0.60278213	0.14094657	0.08903448	0.14094657	0.08903448
25	0.61736685	0.0	0.0	0.60793936	0.13542669	0.079568155	0.13542669	0.079568155
26	0.6226995	0.0	0.0	0.61334896	0.13078555	0.071038485	0.13078555	0.071038485
27	0.6278988	0.0	0.0	0.6188055	0.126705	0.06335773	0.126705	0.06335773
28	0.6328608	0.0	0.0	0.62417305	0.12289773	0.056457233	0.12289773	0.056457233
29	0.6375198	0.0	0.0	0.62935615	0.11923492	0.05026849	0.11923492	0.05026849
30	0.6418425	0.0	0.0	0.63428676	0.11562421	0.04472605	0.11562421	0.04472605
31	0.6458236	0.0	0.0	0.63891405	0.11201086	0.03976819	0.11201086	0.03976819
32	0.6494629	0.0	0.0	0.64321065	0.10826821	0.035339408	0.10826821	0.035339408
33	0.6528215	0.0	0.0	0.6472693	0.1043686	0.031378344	0.10406499	0.03139672
34	0.65593326	0.0	0.0	0.65111876	0.1002257	0.027831577	0.09919744	0.027895516
35	0.65881526	0.0	0.0	0.6547518	0.095795415	0.024655472	0.09353194	0.024791678
36	0.661478	0.0	0.0	0.65815246	0.09102277	0.02181207	0.086979	0.022042818
37	0.6639278	0.0	0.0	0.6613048	0.0858939	0.019267377	0.07950157	0.019609863
38	0.66616803	0.0	0.0	0.6642153	0.08042953	0.016991042	0.07151192	0.017456796
39	0.6682062	0.0	0.0	0.66689163	0.074625954	0.014957139	0.06418856	0.015551616
40	0.67005324	0.0	0.0	0.6693435	0.06851623	0.013141991	0.057488568	0.013865807
41	0.67172503	0.0	0.0	0.67158335	0.06213581	0.011524464	0.051372584	0.012373727
42	0.67324424	0.0	0.0	0.67362547	0.05589561	0.010085494	0.045803647	0.0110524995
43	0.67462873	0.0	0.0	0.6754853	0.05023115	0.008807784	0.04074591	0.009881965
44	0.67589337	0.0	0.0	0.67717874	0.0450961	0.007675556	0.036164545	0.008844353
45	0.6770507	0.0	0.0	0.6787215	0.0404467	0.006674423	0.032025695	0.007924017
46	0.67811185	0.0	0.0	0.68012863	0.03624205	0.0057912036	0.028296523	0.0071071903
47	0.6790865	0.0	0.0	0.68141425	0.03244414	0.0050138086	0.024945438	0.0063817417
48	0.67998344	0.0	0.0	0.68259144	0.029017681	0.0043311664	0.02194215	0.0057369797
49	0.6808149	0.0	0.0	0.68367565	0.025929945	0.003733156	0.019257737	0.005198538
50	0.68158925	0.0	0.0	0.6846814	0.023150636	0.003210548	0.016864706	0.0058009736
51	0.68231225	0.0	0.0	0.6856189	0.020651754	0.0027549467	0.014737042	0.0074512167
52	0.6829883	0.0	0.0	0.68649536	0.018407471	0.002358733	0.012850153	0.010065394
53	0.68361956	0.0	0.0	0.68731666	0.016394004	0.0020150137	0.011180976	0.013567379
54	0.68420696	0.0	0.0	0.6880872	0.014589495	0.001717569	0.009708019	0.017887553
55	0.6847508	0.0	0.0	0.6888108	0.012973896	0.001460804	0.008411361	0.022961795
56	0.6852511	0.0	0.0	0.68949074	0.011528852	0.0012397016	0.0072726365	0.028730556
57	0.6857079	0.0	0.0	0.69012976	0.010237884	0.0010497419	0.006274979	0.035138212
58	0.6861216	0.0	0.0	0.6907306	0.009085968	0.0008869073	0.0054029673	0.042132467
59	0.68649256	0.0	0.0	0.69129544	0.00805932	0.00074764836	0.004642552	0.049663514
60	0.68682164	0.0	0.0	0.6918264	0.0071453145	0.0006288334	0.0039809225	0.05767134
61	0.6871099	0.0	0.0	0.6923255	0.006332415	0.00052770437	0.0034065268	0.0660992
62	0.6873586	0.0	0.0	0.69279426	0.005610112	0.00044183712	0.0029089772	0.07489346
63	0.68756914	0.0	0.0	0.69323456	0.0049688537	0.00036910607	0.002478948	0.084006146
64	0.6877415	0.0	0.0	0.69364774	0.0043999846	0.00030765208	0.0021080931	0.093395084
65	0.6878761	0.0	0.0	0.6940354	0.00389568	0.0002558535	0.0017889774	0.10301973
66	0.6879738	0.0	0.0	0.69439876	0.0034488845	0.00021229981	0.0015149934	0.11284128
67	0.6880361	0.0	0.0	0.6947391	0.0030532507	0.00017576768	0.0012802831	0.12282279
68	0.6880646	0.0	0.0	0.69505763	0.0027030807	0.00014519924	0.0010796669	0.13292922
69	0.6880611	0.0	0.0	0.6953591	0.0023932697	0.000119682474	0.0009085695	0.14313264
70	0.6880276	0.0	0.0	0.69564617	0.0021192336	9.8434335e-05	0.0007629639	0.15341221
71	0.68796605	0.0	0.0	0.69592035	0.0018768866	8.078336e-05	0.00063932483	0.16374671
72	0.6878784	0.0	0.0	0.69618255	0.0016625791	6.6156055e-05	0.000534572	0.17411491
73	0.68776655	0.0	0.0	0.6964333	0.0014730677	5.4063537e-05	0.00044601958	0.1844958
74	0.6876326	0.0	0.0	0.6966728	0.0013054789	4.40901e-05	0.00037133117	0.19486898
75	0.68747836	0.0	0.0	0.6969012	0.0011572686	3.588341e-05	0.00030847912	0.2052148
76	0.68730545	0.0	0.0	0.6971187	0.0010261851	2.9145827e-05	0.00025570812	0.21551454
77	0.6871158	0.0	0.0	0.69732547	0.0009102299	2.3626832e-05	0.0002115024	0.22575046
78	0.686911	0.0	0.0	0.69752157	0.00080762926	1.9116229e-05	0.00017455983	0.23589286
79	0.6866925	0.0	0.0	0.69770736	0.00071681145	1.5438085e-05	0.00014376004	0.24591598
80	0.6864618	0.0	0.0	0.697883	0.0006363914	1.2445403e-05	0.000118141885	0.2557977
81	0.6862204	0.0	0.0	0.69804883	0.00056515215	1.0015646e-05	9.688324e-05	0.2655192
82	0.68596953	0.0	0.0	0.69820523	0.0005020233	8.046993e-06	7.928298e-05	0.2750645
83	0.6857105	0.0	0.0	0.6983526	0.00044606294	6.455098e-06	6.474489e-05	0.2844205
84	0.6854444	0.0	0.0	0.6984911	0.00039644114	5.1703064e-06	5.276343e-05	0.2935765
85	0.68517244	0.0	0.0	0.6986212	0.00035242646	4.135261e-06	4.291116e-05	0.30252415
86	0.68489563	0.0	0.0	0.6987434	0.0003133737	3.3028682e-06	3.4827717e-05	0.31125718
87	0.6846149	0.0	0.0	0.698858	0.00027871347	2.6345654e-06	2.8210121e-05	0.31977114
88	0.6843312	0.0	0.0	0.69896543	0.0002479431	2.0988582e-06	2.2804343e-05	0.32806334
89	0.6840452	0.0	0.0	0.6990659	0.00022061853	1.6700894e-06	1.8397983e-05	0.33613256
90	0.6837578	0.0	0.0	0.69916	0.00019634742	1.3274071e-06	1.4813918e-05	0.34397894
91	0.6834698	0.0	0.0	0.69924796	0.00017478294	1.0539032e-06	1.1904839e-05	0.35160387
92	0.68318176	0.0	0.0	0.6993302	0.00015561843	8.3589737e-07	9.548672e-06	0.3590026
93	0.68289423	0.0	0.0	0.69940704	0.00013858256	6.623436e-07	7.6445585e-06	0.36615756
94	0.6826079	0.0	0.0	0.69947875	0.00012343527	5.2434063e-07	6.1091e-06	0.37305683
95	0.6823232	0.0	0.0	0.69954574	0.00010996402	4.147287e-07	4.873531e-06	0.3796931
96	0.6820407	0.0	0.0	0.6996082	9.7980635e-05	3.2775915e-07	3.8813155e-06	0.3860627
97	0.68176067	0.0	0.0	0.6996665	8.731841e-05	2.5882403e-07	3.086102e-06	0.39216512
98	0.6814837	0.0	0.0	0.69972074	7.782963e-05	2.0423553e-07	2.4499957e-06	0.39800224
99	0.68121004	0.0	0.0	0.6997713	6.938337e-05	1.6104681e-07	1.9421e-06	0.40357798
