TARGET	LEX	AWP	AGSD	LUCEK	ACT	AccType	Acc	RT	RTlength	Length	UP	RTup	TARGET	COH	NB	RHY1	RHY2	EMBED	xEMBED	COHshort	COHlong	COHeq	DEL	ADD	SUB
babi	slex	0.3	0	20	Activation	Peak	1	100	29	4	4	0	babi	7	4	2	3	3	1	2	1	4	1	0	3
babi	slex	0.3	0	20	Activation	Max	1	41	29	4	4	0	babi	7	4	2	3	3	1	2	1	4	1	0	3
babi	slex	0.3	0	20	Activation	Abz	1	49	29	4	4	0	babi	7	4	2	3	3	1	2	1	4	1	0	3
babi	slex	0.3	0	20	Activation	Diff	1	48	29	4	4	0	babi	7	4	2	3	3	1	2	1	4	1	0	3
babi	slex	0.3	0	20	Activation	CDiff	1	58	29	4	4	0	babi	7	4	2	3	3	1	2	1	4	1	0	3
babi	slex	0.3	0	20	Probability	Peak	1	100	29	4	4	0	babi	7	4	2	3	3	1	2	1	4	1	0	3
babi	slex	0.3	0	20	Probability	Max	1	41	29	4	4	0	babi	7	4	2	3	3	1	2	1	4	1	0	3
babi	slex	0.3	0	20	Probability	Abz	1	51	29	4	4	0	babi	7	4	2	3	3	1	2	1	4	1	0	3
babi	slex	0.3	0	20	Probability	Diff	1	42	29	4	4	0	babi	7	4	2	3	3	1	2	1	4	1	0	3
babi	slex	0.3	0	20	Probability	CDiff	1	49	29	4	4	0	babi	7	4	2	3	3	1	2	1	4	1	0	3
bab	slex	0.3	0	20	Activation	Peak	1	100	23	3	3	0	bab	7	4	2	5	1	2	0	5	2	0	1	3
bab	slex	0.3	0	20	Activation	Max	1	26	23	3	3	0	bab	7	4	2	5	1	2	0	5	2	0	1	3
bab	slex	0.3	0	20	Activation	Abz	1	48	23	3	3	0	bab	7	4	2	5	1	2	0	5	2	0	1	3
bab	slex	0.3	0	20	Activation	Diff	1	36	23	3	3	0	bab	7	4	2	5	1	2	0	5	2	0	1	3
bab	slex	0.3	0	20	Activation	CDiff	1	53	23	3	3	0	bab	7	4	2	5	1	2	0	5	2	0	1	3
bab	slex	0.3	0	20	Probability	Peak	1	100	23	3	3	0	bab	7	4	2	5	1	2	0	5	2	0	1	3
bab	slex	0.3	0	20	Probability	Max	1	26	23	3	3	0	bab	7	4	2	5	1	2	0	5	2	0	1	3
bab	slex	0.3	0	20	Probability	Abz	1	49	23	3	3	0	bab	7	4	2	5	1	2	0	5	2	0	1	3
bab	slex	0.3	0	20	Probability	Diff	1	36	23	3	3	0	bab	7	4	2	5	1	2	0	5	2	0	1	3
bab	slex	0.3	0	20	Probability	CDiff	1	46	23	3	3	0	bab	7	4	2	5	1	2	0	5	2	0	1	3
badi	slex	0.3	0	20	Activation	Peak	1	98	29	4	3	6	badi	7	2	1	2	2	1	2	1	4	0	0	2
badi	slex	0.3	0	20	Activation	Max	1	35	29	4	3	6	badi	7	2	1	2	2	1	2	1	4	0	0	2
